Taper_length,Waist_scale,Waist_len,Low_wavelength,High_wavelength,SC_range
0.05,0.28,0.025,1336.7602286381796,1762.2624883817348,425.5022597435552
0.05,0.29333333333333333,0.025,1328.1729521370603,1771.1119086947235,442.93895655766323
0.05,0.3066666666666667,0.025,1318.534454267573,1781.1082070618797,462.57375279430676
0.05,0.32,0.025,1307.8926660279,1792.28885325833,484.39618723042986
0.05,0.33333333333333337,0.025,1295.7389973945017,1805.2398579491546,509.50086055465295
0.05,0.3466666666666667,0.025,1281.8878147881514,1819.4829920561385,537.5951772679871
0.05,0.36,0.025,1265.9195603967253,1835.6370679395977,569.7175075428725
0.05,0.37333333333333335,0.025,1246.9637766278695,1854.3717733405585,607.407996712689
0.05,0.3866666666666667,0.025,1221.3100510817162,1875.837372615365,654.5273215336488
0.05,0.4,0.025,1192.6439872899043,1900.8139768701171,708.1699895802128
0.060000000000000005,0.28,0.025,1205.8359999496881,1900.8139768701171,694.977976920429
0.060000000000000005,0.29333333333333333,0.025,1183.9305785659717,1923.9919667628326,740.0613881968609
0.060000000000000005,0.3066666666666667,0.025,1159.4340045421986,1949.6422006348628,790.2081960926641
0.060000000000000005,0.32,0.025,1132.497714452976,1977.941146585875,845.443432132899
0.060000000000000005,0.33333333333333337,0.025,1104.5418070940689,2009.0913005497953,904.5494934557264
0.060000000000000005,0.3466666666666667,0.025,1071.7670157619268,2042.6291004639625,970.8620847020356
0.060000000000000005,0.36,0.025,1032.2794165833614,2078.0255501322167,1045.7461335488554
0.060000000000000005,0.37333333333333335,0.025,999.4150093231539,2116.1630889845355,1116.7480796613818
0.060000000000000005,0.3866666666666667,0.025,1483.6221088438629,2154.1776479236023,670.5555390797394
0.060000000000000005,0.4,0.025,1482.5215965933787,2193.582970487538,711.0613738941595
0.07,0.28,0.025,1484.356691835079,2144.163085366463,659.806393531384
0.07,0.29333333333333333,0.025,942.6904071831855,2177.6491007200834,1234.958693536898
0.07,0.3066666666666667,0.025,909.1012947795592,1613.8008729340909,704.6995781545317
0.07,0.32,0.025,880.2721158319662,1638.0496022485206,757.7774864165544
0.07,0.33333333333333337,0.025,862.4194167449722,2199.2150542740605,1336.7956375290883
0.07,0.3466666666666667,0.025,853.4580782779142,2199.2150542740605,1345.7569759961464
0.07,0.36,0.025,824.131068089229,2199.2150542740605,1375.0839861848317
0.07,0.37333333333333335,0.025,879.6264102941277,2199.2150542740605,1319.5886439799328
0.07,0.3866666666666667,0.025,891.5285268299364,2199.2150542740605,1307.6865274441243
