Taper_length,Waist_scale,Waist_len,Low_wavelength,High_wavelength,SC_range
0.14,0.28,0.025,577.2811546844633,2199.2150542740605,1621.9338995895973
0.14,0.29333333333333333,0.025,576.5040722418062,2199.2150542740605,1622.7109820322544
0.14,0.3066666666666667,0.025,1498.0788994925294,2199.2150542740605,701.1361547815311
0.14,0.32,0.025,580.5229385777684,2199.2150542740605,1618.6921156962921
0.14,0.33333333333333337,0.025,587.5772617641541,2199.2150542740605,1611.6377925099064
0.14,0.3466666666666667,0.025,589.0781922395612,2199.2150542740605,1610.1368620344992
0.14,0.36,0.025,596.3432697852405,2199.2150542740605,1602.8717844888201
0.14,0.37333333333333335,0.025,699.4398332596336,2199.2150542740605,1499.775221014427
0.14,0.3866666666666667,0.025,605.0082871875321,2199.2150542740605,1594.2067670865285
0.14,0.4,0.025,800.9032664752082,2199.2150542740605,1398.3117877988525
