Trace
Log Plot
A.29.04,N9000B
513 EP4 P13 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,713400315.864986
Electrical Atten,0
Electrical Atten State,False
EnablePMRejection,False
External Array Trigger Delay,1E-06,1E-06,1E-06,1E-06
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,1.2,1.2
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
FilteStateArray,False,False,False,False,False,False
HighCutoffFrequencyArray,1000000,1000000,1000000,1000000,1000000,1000000
HighCutoffSlopeArray,0,0,0,0,0,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
LowCutoffFrequencyArray,100,100,100,100,100,100
LowCutoffSlopeArray,0,0,0,0,0,0
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Noise Floor Extension,False
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,1000000
Threshold,0.01
Trace Hold State,None,None,None,None,None,None
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
Trace Name,Trace1
DATA,
100,-19.0704600572047
101.546899243308,-20.9751909384279
103.117727459306,-19.6570927085107
104.71285480509,-27.0555753351144
106.332657163716,-20.6052511309818
107.977516232771,-18.7613669107529
109.647819614319,-20.5661129880275
111.343960906236,-19.9584923923839
113.066339794964,-19.6998198224368
114.815362149688,-26.5442709208081
116.591440117983,-19.911189451796
118.39499222293,-20.6955922071236
120.226443461741,-21.6883685882704
122.086225405907,-22.4340326603782
123.974776302894,-21.7351942749643
125.892541179417,-22.4387475213339
127.839971946302,-22.9475027987225
129.817527504985,-20.352584368829
131.825673855641,-24.1751393873249
133.864884206999,-21.8938933106804
135.935639087853,-22.4369163309642
138.038426460288,-24.6328069183264
140.173741834677,-23.8456702257703
142.342088386434,-22.6476944454325
144.543977074593,-25.2872880474996
146.779926762207,-25.1518867912251
149.05046433862,-25.1341250238853
151.356124843621,-22.7587232805947
153.697451593527,-22.073085341724
156.074996309211,-22.9930735307487
158.489319246111,-25.164939654105
160.940989326253,-25.9675153879374
163.430584272314,-25.4738858492191
165.958690743756,-22.2012406997434
168.525904475075,-28.2010720298582
171.132830416178,-24.8752049239103
173.780082874938,-23.4396405883937
176.46828566195,-22.6321543324438
179.198072237533,-26.8592303913613
181.970085860998,-25.5253926826875
184.784979742229,-28.2475611418717
187.643417195609,-31.8632199340893
190.546071796325,-34.6706870625422
193.493627539095,-32.6839634157818
196.486778999347,-26.2479369108397
199.526231496888,-26.7797886419186
202.612701262114,-30.3002844861609
205.746915604784,-31.1819125750457
208.929613085404,-30.2790572668953
212.161543689268,-29.3915426224675
215.443469003188,-25.3640664553809
218.776162394955,-23.5146071686491
222.160409195581,-28.8023193628992
225.597006884358,-27.7810403789315
229.086765276777,-30.5266729564705
232.630506715363,-34.353991661211
236.229066263446,-32.3179012245973
239.883291901949,-28.7172025463974
243.594044729203,-27.5057710820456
247.362199163862,-28.7461972797106
251.188643150958,-26.4373551139254
255.074278371136,-30.7981687007352
259.020020453132,-30.5119540402631
263.026799189538,-30.2282744144648
267.095558755898,-33.1288318994771
271.227257933203,-31.3440417974077
275.422870333817,-32.5451460714379
279.683384630908,-29.5035227761433
284.009804791421,-29.4638033820937
288.403150312661,-34.2355455187116
292.864456462524,-36.1235975201158
297.394774523461,-34.5608320340866
301.995172040202,-36.0514782779009
306.666733071318,-32.5821702932849
311.410558444676,-20.4569199141837
316.227766016838,-24.763441036203
321.119490936482,-21.7355800739693
326.086885911893,-24.6931812275623
331.131121482591,-24.4465731140912
336.253386295163,-19.0992457822824
341.45488738336,-23.8814435694104
346.736850452532,-20.887029140809
352.100520168452,-23.4395612732688
357.547160450621,-21.5558062833883
363.078054770101,-22.7732595790326
368.694506451958,-22.6806824769826
374.397838982381,-21.8495812217354
380.189396320561,-21.8985720229603
386.070543215381,-21.0267766025524
392.042665527015,-24.7421745288251
398.107170553497,-27.4737203751922
404.265487362344,-27.2614717154967
410.519067127308,-29.5106725066021
416.869383470335,-26.4666227751234
423.317932808821,-21.4565427733357
429.866234708228,-26.0330196451276
436.515832240166,-24.7411860014921
443.268292346009,-23.352030655649
450.125206206134,-24.5450845140013
457.088189614875,-23.5180354652216
464.158883361278,-22.7877043307653
471.33895361574,-25.0237353554672
478.630092322638,-25.7808484754129
486.034017599022,-24.1428799256086
493.552474139481,-21.4457034009782
501.187233627272,-26.6613973347913
508.940095151809,-24.8600057827846
516.812885632604,-30.0355080887375
524.807460249773,-25.7448457778088
532.9257028812,-27.5459681235784
541.169526546464,-29.1202775193963
549.540873857625,-30.7529275178681
558.041717476996,-26.7882901480523
566.674060581991,-27.3997904301256
575.439937337157,-26.8321839745332
584.341413373518,-27.3396967074265
593.380586275328,-35.0345745436479
602.559586074358,-26.5754973819077
611.880575751822,-30.6576459066752
621.345751748076,-26.7726874769386
630.957344480193,-29.3658220503617
640.717618867554,-28.4427145275046
650.628874865557,-28.9926955863178
660.693448007596,-28.8628212486004
670.913709955411,-29.6360727895802
681.292069057961,-29.5340530592582
691.830970918936,-28.1589285158331
702.532898973052,-29.7593674532184
713.400375071256,-30.8317054024112
724.43596007499,-34.9641668002431
735.642254459641,-34.0943631586834
747.021898927332,-29.8510271623787
758.577575029184,-29.8188208477565
770.312005797215,-31.4756415675108
782.227956386003,-34.5456229922783
794.328234724282,-30.8390289211065
806.615692176613,-30.6585063474487
819.093224215297,-34.3201942763945
831.763771102671,-31.9750072726726
844.630318583969,-29.5211099043773
857.695898590894,-30.8361287692918
870.96358995608,-34.4812955108997
884.4365191386,-33.6430389217598
898.117860960695,-32.0326396967105
912.01083935591,-31.5704181124098
926.118728128793,-30.4264832352465
940.444851726352,-35.1222782334479
954.992586021436,-36.4541568882492
969.765359108249,-35.3595761349678
984.766652110158,-30.1441486592484
1000,-32.0239238614988
1015.46899243308,-34.4166743270983
1031.17727459306,-32.1523659509247
1047.1285480509,-33.0013008241951
1063.32657163716,-31.9612534311621
1079.77516232771,-36.5049852984299
1096.47819614319,-36.6085784721415
1113.43960906236,-37.7105778363288
1130.66339794964,-36.4994928700571
1148.15362149688,-32.7773359354668
1165.91440117983,-33.6574940007223
1183.9499222293,-35.176404508708
1202.26443461741,-35.2346478296404
1220.86225405907,-37.991848896624
1239.74776302894,-35.0234934248768
1258.92541179417,-36.2329353655544
1278.39971946302,-34.6460297507909
1298.17527504985,-35.741685093657
1318.25673855641,-36.5006963773087
1338.64884206999,-34.3440820822606
1359.35639087853,-36.4450853551191
1380.38426460288,-37.2626991082569
1401.73741834677,-36.3463836197336
1423.42088386434,-37.6223343943084
1445.43977074593,-37.4016808046574
1467.79926762207,-40.2739323275595
1490.5046433862,-37.6063660746902
1513.56124843621,-38.7581678638892
1536.97451593527,-38.5685581893225
1560.74996309211,-37.2578104350549
1584.89319246111,-37.5639978507303
1609.40989326254,-38.6288483934413
1634.30584272314,-39.332879761511
1659.58690743756,-38.024464558736
1685.25904475075,-40.0175994517252
1711.32830416178,-39.1513149095483
1737.80082874938,-36.8938674069593
1764.6828566195,-38.9852463868641
1791.98072237533,-37.77554110979
