; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -4.990234375e-12
; t2 = 5e-12
; dt = 9.765625e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-4.990234375e-12, 181.9855935e-6, 1.05990905e-6
-4.98046875e-12, 157.8280078e-6, 101.4160585e-6
-4.970703125e-12, 83.39852755e-6, 165.0083728e-6
-4.9609375e-12, -18.67773247e-6, 173.8321523e-6
-4.951171875e-12, -115.2495698e-6, 128.494598e-6
-4.94140625e-12, -173.4202268e-6, 45.82022784e-6
-4.931640625e-12, -172.7318989e-6, -47.88771388e-6
-4.921875e-12, -113.5425344e-6, -124.8024094e-6
-4.912109375e-12, -17.38462648e-6, -162.6318159e-6
-4.90234375e-12, 81.33581334e-6, -150.0051658e-6
-4.892578125e-12, 148.7177299e-6, -89.82747105e-6
-4.8828125e-12, 163.8350376e-6, 297.252942e-9
-4.873046875e-12, 125.1056669e-6, 91.8577033e-6
-4.86328125e-12, 48.72993243e-6, 153.7950294e-6
-4.853515625e-12, -38.83652664e-6, 163.5006496e-6
-4.84375e-12, -110.3342189e-6, 116.2395404e-6
-4.833984375e-12, -145.4511338e-6, 28.33667976e-6
-4.82421875e-12, -135.2370704e-6, -68.26440766e-6
-4.814453125e-12, -83.38699579e-6, -138.3721535e-6
-4.8046875e-12, -5.145714318e-6, -157.5128362e-6
-4.794921875e-12, 75.9744473e-6, -121.1813596e-6
-4.78515625e-12, 133.9537625e-6, -45.41204401e-6
-4.775390625e-12, 148.1518911e-6, 40.96579078e-6
-4.765625e-12, 111.2895526e-6, 108.1903044e-6
-4.755859375e-12, 34.04825254e-6, 136.0563376e-6
-4.74609375e-12, -56.88561147e-6, 119.1585952e-6
-4.736328125e-12, -127.952967e-6, 66.18217092e-6
-4.7265625e-12, -151.9535453e-6, -4.80539762e-6
-4.716796875e-12, -119.6136957e-6, -72.30004901e-6
-4.70703125e-12, -43.88590173e-6, -116.7136756e-6
-4.697265625e-12, 45.38258954e-6, -124.7057592e-6
-4.6875e-12, 114.0812444e-6, -92.63799017e-6
-4.677734375e-12, 137.8658716e-6, -28.69699507e-6
-4.66796875e-12, 111.1979408e-6, 47.70255201e-6
-4.658203125e-12, 47.7796263e-6, 110.6109417e-6
-4.6484375e-12, -26.86115455e-6, 136.1301489e-6
-4.638671875e-12, -86.36563761e-6, 112.2113287e-6
-4.62890625e-12, -112.9333903e-6, 45.23095151e-6
-4.619140625e-12, -101.7014647e-6, -40.59922699e-6
-4.609375e-12, -59.75845145e-6, -111.9550764e-6
-4.599609375e-12, -1.841420601e-6, -140.1131333e-6
-4.58984375e-12, 54.65283251e-6, -113.5467794e-6
-4.580078125e-12, 93.76231636e-6, -43.31963457e-6
-4.5703125e-12, 104.0551048e-6, 41.56582213e-6
-4.560546875e-12, 81.25796303e-6, 106.8383117e-6
