; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -4.990234375e-12
; t2 = 5e-12
; dt = 9.765625e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-3.984375e-12, -138.9842245e-6, 154.0022853e-6
-3.974609375e-12, 11.5367539e-6, 383.9282322e-6
-3.96484375e-12, 159.8630057e-6, 504.2711916e-6
-3.955078125e-12, 266.6243844e-6, 475.5857413e-6
-3.9453125e-12, 303.9377972e-6, 302.3697086e-6
-3.935546875e-12, 262.41179e-6, 32.56821976e-6
-3.92578125e-12, 153.0639525e-6, -255.8930896e-6
-3.916015625e-12, 3.930828469e-6, -477.7022029e-6
-3.90625e-12, -147.4551515e-6, -565.2958517e-6
-3.896484375e-12, -263.5858587e-6, -489.1369969e-6
-3.88671875e-12, -316.0403094e-6, -267.1030956e-6
-3.876953125e-12, -291.9655758e-6, 39.89398519e-6
-3.8671875e-12, -196.6584818e-6, 344.919206e-6
-3.857421875e-12, -51.94432213e-6, 559.8168709e-6
-3.84765625e-12, 109.0078028e-6, 620.6623056e-6
-3.837890625e-12, 249.1222515e-6, 506.4948452e-6
-3.828125e-12, 335.484667e-6, 245.8820536e-6
-3.818359375e-12, 346.4469563e-6, -90.63407288e-6
-3.80859375e-12, 276.4578256e-6, -410.0957498e-6
-3.798828125e-12, 137.7415416e-6, -623.1367173e-6
-3.7890625e-12, -41.54090787e-6, -669.0521363e-6
-3.779296875e-12, -222.4646011e-6, -532.845385e-6
-3.76953125e-12, -363.0985962e-6, -249.4905865e-6
-3.759765625e-12, -427.5588957e-6, 105.6933005e-6
-3.75e-12, -394.633181e-6, 437.7391512e-6
-3.740234375e-12, -264.0576086e-6, 657.921412e-6
-3.73046875e-12, -58.70429239e-6, 707.6194999e-6
-3.720703125e-12, 178.4231177e-6, 573.6545116e-6
-3.7109375e-12, 392.4198111e-6, 291.1197892e-6
-3.701171875e-12, 528.6551789e-6, -66.72029861e-6
-3.69140625e-12, 546.3707974e-6, -408.3419337e-6
-3.681640625e-12, 430.3933315e-6, -648.0207991e-6
-3.671875e-12, 197.6529959e-6, -727.508284e-6
-3.662109375e-12, -103.870903e-6, -629.7608014e-6
-3.65234375e-12, -404.4079103e-6, -381.5841459e-6
-3.642578125e-12, -628.313461e-6, -45.17364176e-6
-3.6328125e-12, -713.0812145e-6, 298.5714795e-6
-3.623046875e-12, -626.6400985e-6, 570.1877978e-6
-3.61328125e-12, -378.1112974e-6, 710.0136573e-6
-3.603515625e-12, -18.55797592e-6, 690.517423e-6
-3.59375e-12, 369.2710581e-6, 520.2875015e-6
-3.583984375e-12, 690.2433436e-6, 239.687389e-6
-3.57421875e-12, 860.6005632e-6, -89.84989319e-6
-3.564453125e-12, 830.0685924e-6, -399.75655e-6
-3.5546875e-12, 596.3272108e-6, -628.1864626e-6
-3.544921875e-12, 207.6420347e-6, -731.1372497e-6
-3.53515625e-12, -247.4927463e-6, -689.2879905e-6
-3.525390625e-12, -661.3750294e-6, -510.1343907e-6
-3.515625e-12, -933.5203722e-6, -225.8356405e-6
-3.505859375e-12, -995.6908253e-6, 112.400748e-6
-3.49609375e-12, -829.0302555e-6, 442.4890972e-6
-3.486328125e-12, -468.8911089e-6, 701.3161565e-6
-3.4765625e-12, 3.789341547e-6, 835.3262698e-6
-3.466796875e-12, 482.1674577e-6, 810.6254084e-6
-3.45703125e-12, 859.019372e-6, 621.0081019e-6
-3.447265625e-12, 1.05158388e-3, 292.0630834e-6
-3.4375e-12, 1.019664199e-3, -120.3132886e-6
-3.427734375e-12, 772.9814783e-6, -537.8802076e-6
-3.41796875e-12, 366.7400699e-6, -874.0040296e-6
-3.408203125e-12, -112.6356903e-6, -1.0514417e-3
-3.3984375e-12, -567.4283743e-6, -1.020326892e-3
-3.388671875e-12, -909.1674547e-6, -771.9936631e-6
-3.37890625e-12, -1.075252081e-3, -344.6659076e-6
-3.369140625e-12, -1.038714936e-3, 181.3577886e-6
-3.359375e-12, -810.2306954e-6, 698.8952925e-6
-3.349609375e-12, -433.3160491e-6, 1.096564723e-3
-3.33984375e-12, 25.17335613e-6, 1.283862104e-3
-3.330078125e-12, 486.838591e-6, 1.212558694e-3
-3.3203125e-12, 873.8039583e-6, 888.9806936e-6
-3.310546875e-12, 1.119736818e-3, 373.8860308e-6
-3.30078125e-12, 1.179108856e-3, -230.2392765e-6
-3.291015625e-12, 1.034225021e-3, -801.4422163e-6
-3.28125e-12, 699.4009164e-6, -1.224710216e-3
-3.271484375e-12, 221.370389e-6, -1.416203569e-3
-3.26171875e-12, -325.0887109e-6, -1.339779412e-3
-3.251953125e-12, -846.9017952e-6, -1.012472307e-3
-3.2421875e-12, -1.247379381e-3, -498.5129268e-6
-3.232421875e-12, -1.443958704e-3, 105.7654951e-6
-3.22265625e-12, -1.385744442e-3, 691.9225908e-6
-3.212890625e-12, -1.066809245e-3, 1.159562971e-3
-3.203125e-12, -531.4842948e-6, 1.432661081e-3
-3.193359375e-12, 130.6791022e-6, 1.469703265e-3
-3.18359375e-12, 800.2320189e-6, 1.267143259e-3
-3.173828125e-12, 1.350731828e-3, 857.1286511e-6
-3.1640625e-12, 1.674359116e-3, 301.1584208e-6
-3.154296875e-12, 1.704400455e-3, -318.7400718e-6
-3.14453125e-12, 1.429319933e-3, -910.2718318e-6
-3.134765625e-12, 895.1522415e-6, -1.382091373e-3
-3.125e-12, 195.840553e-6, -1.655672762e-3
-3.115234375e-12, -545.9218405e-6, -1.677163881e-3
-3.10546875e-12, -1.202645924e-3, -1.427804821e-3
-3.095703125e-12, -1.665321995e-3, -930.7629393e-6
-3.0859375e-12, -1.861255657e-3, -252.0202774e-6
-3.076171875e-12, -1.763567341e-3, 506.4149585e-6
-3.06640625e-12, -1.39179306e-3, 1.221188569e-3
-3.056640625e-12, -805.0779616e-6, 1.768346947e-3
-3.046875e-12, -90.65643535e-6, 2.046380397e-3
-3.037109375e-12, 649.5391573e-6, 1.996632385e-3
-3.02734375e-12, 1.312001488e-3, 1.616259121e-3
-3.017578125e-12, 1.803425199e-3, 960.4153113e-6
-3.0078125e-12, 2.050924063e-3, 132.8521345e-6
