# Frequency; PSD [dBc/Hz]
1.04370117e+01;-2.69536858e+01
1.04980469e+01;-2.67167969e+01
1.05590820e+01;-2.65727463e+01
1.06201172e+01;-2.66514149e+01
1.06811523e+01;-2.65351028e+01
1.07421875e+01;-2.63582497e+01
1.08032227e+01;-2.64213028e+01
1.08642578e+01;-2.64592838e+01
1.09252930e+01;-2.63412495e+01
1.09863281e+01;-2.62798023e+01
1.10473633e+01;-2.64053135e+01
1.11083984e+01;-2.65760345e+01
1.11694336e+01;-2.65578403e+01
1.12304688e+01;-2.66196594e+01
1.12915039e+01;-2.68301105e+01
1.13525391e+01;-2.68913574e+01
1.14135742e+01;-2.69385548e+01
1.14746094e+01;-2.71161194e+01
1.15356445e+01;-2.73620205e+01
1.15966797e+01;-2.74778442e+01
1.16577148e+01;-2.73790436e+01
1.17187500e+01;-2.74814091e+01
1.17797852e+01;-2.76905212e+01
1.18408203e+01;-2.76972923e+01
1.19018555e+01;-2.77158165e+01
1.19628906e+01;-2.77549610e+01
1.20239258e+01;-2.77804070e+01
1.20849609e+01;-2.77381401e+01
1.21459961e+01;-2.76956291e+01
1.22070312e+01;-2.79428272e+01
1.22680664e+01;-2.80772247e+01
1.23291016e+01;-2.81106873e+01
1.23901367e+01;-2.83012066e+01
1.24511719e+01;-2.85660801e+01
1.25122070e+01;-2.87527924e+01
1.25732422e+01;-2.88070946e+01
1.26342773e+01;-2.89617958e+01
1.26953125e+01;-2.93383179e+01
1.27563477e+01;-2.94360600e+01
1.28173828e+01;-2.95180931e+01
1.28784180e+01;-2.97807407e+01
1.29394531e+01;-3.00173588e+01
1.30004883e+01;-3.01340752e+01
1.30615234e+01;-3.01835365e+01
1.31225586e+01;-3.04588337e+01
1.31835938e+01;-3.07734528e+01
1.32446289e+01;-3.07569294e+01
1.33056641e+01;-3.09423943e+01
1.33666992e+01;-3.12176399e+01
1.34277344e+01;-3.12311268e+01
1.34887695e+01;-3.12316360e+01
1.35498047e+01;-3.14703979e+01
1.36108398e+01;-3.19021339e+01
1.36718750e+01;-3.20433388e+01
1.37329102e+01;-3.21886215e+01
1.37939453e+01;-3.26201057e+01
1.38549805e+01;-3.28877182e+01
1.39160156e+01;-3.32077217e+01
1.39770508e+01;-3.37511063e+01
1.40380859e+01;-3.42476349e+01
1.40991211e+01;-3.44589920e+01
1.41601562e+01;-3.45277939e+01
1.42211914e+01;-3.49484787e+01
1.42822266e+01;-3.54107857e+01
1.43432617e+01;-3.57074242e+01
1.44042969e+01;-3.60493813e+01
1.44653320e+01;-3.62599030e+01
1.45263672e+01;-3.62797737e+01
1.45874023e+01;-3.61433487e+01
1.46484375e+01;-3.62110939e+01
1.47094727e+01;-3.64311485e+01
