# 2022-03-21_21.40.45
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.10488888888888889
# untap_len = 0.01
# taper_len = 0.04488888888888889
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.1473684210526316
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-82.360596
600.163550	-83.311197
600.283723	-81.282406
600.403943	-80.102435
600.524212	-77.729477
600.644529	-79.092539
600.764895	-80.279568
600.885308	-81.637039
601.005770	-83.874638
601.126280	-80.610838
601.246839	-81.706183
601.367446	-81.081567
601.488101	-81.686557
601.608804	-83.327208
601.729557	-80.519809
601.850357	-81.541482
601.971206	-79.135745
602.092104	-79.099422
602.213050	-79.765558
602.334045	-79.371851
602.455089	-82.631645
602.576181	-82.057436
602.697322	-82.324603
602.818511	-81.196621
602.939749	-79.933906
603.061036	-82.144188
603.182372	-81.953712
603.303757	-82.968409
603.425191	-80.289783
603.546673	-78.244877
603.668204	-79.228392
603.789785	-79.653542
603.911414	-83.497077
604.033092	-81.911994
604.154820	-79.361118
604.276596	-79.869855
604.398422	-80.725712
604.520297	-86.312530
604.642220	-81.992771
604.764193	-79.502791
604.886216	-79.262237
605.008287	-79.574596
605.130408	-83.257049
605.252578	-80.951328
605.374798	-79.934107
605.497066	-79.345821
605.619385	-79.432839
605.741752	-82.517271
605.864169	-82.353192
605.986636	-82.824040
606.109152	-80.681080
606.231718	-79.938870
606.354333	-81.753939
606.476998	-81.724358
606.599712	-82.198715
606.722476	-79.280728
606.845290	-78.823723
606.968154	-80.421954
607.091067	-80.977613
607.214030	-82.792492
607.337043	-80.371820
607.460106	-81.386084
607.583219	-82.206350
607.706381	-81.402899
607.829594	-81.578767
607.952856	-80.612600
608.076169	-82.945264
608.199531	-80.873136
608.322944	-78.760658
608.446407	-78.692803
608.569920	-78.661102
608.693483	-84.635747
608.817096	-83.339871
608.940759	-81.538826
609.064473	-79.083183
609.188237	-79.392715
609.312051	-85.346280
609.435916	-83.209671
609.559831	-81.449273
609.683796	-77.338460
609.807812	-78.487938
609.931878	-80.767706
610.055995	-83.206709
610.180162	-82.535450
610.304380	-79.174346
610.428648	-80.244939
610.552967	-82.528349
610.677337	-85.333706
610.801757	-81.884793
610.926228	-78.935542
611.050750	-79.743578
611.175323	-79.821903
611.299946	-82.448985
611.424620	-81.375831
611.549345	-79.704088
611.674121	-80.217684
611.798948	-80.222057
611.923826	-86.912300
612.048755	-83.114881
612.173734	-80.885432
612.298765	-78.449317
612.423847	-79.559644
612.548980	-84.483810
612.674165	-82.114040
612.799400	-80.148356
612.924687	-77.682254
613.050025	-80.251284
613.175414	-83.997037
613.300854	-84.511398
613.426346	-81.512365
613.551889	-80.221858
613.677484	-82.341378
613.803130	-81.328025
613.928827	-81.901799
614.054576	-80.119264
614.180377	-79.928811
614.306229	-81.104360
614.432132	-81.392307
614.558087	-84.299966
614.684094	-80.661071
614.810153	-80.485365
614.936263	-81.205058
615.062425	-84.726943
615.188639	-84.222367
615.314904	-78.379067
615.441222	-77.945113
615.567591	-77.965153
615.694012	-85.150052
615.820486	-84.445617
615.947011	-79.867121
616.073588	-77.572270
616.200217	-78.310610
616.326898	-88.533331
616.453632	-86.892290
616.580417	-79.504461
616.707255	-75.614591
616.834144	-77.126696
616.961086	-81.910786
617.088081	-97.523601
617.215127	-79.948099
617.342226	-76.305787
617.469378	-77.214542
617.596581	-81.027012
617.723837	-102.887314
617.851146	-79.839938
617.978507	-77.064647
618.105920	-76.959942
618.233386	-80.079071
618.360905	-92.468719
618.488476	-81.606925
618.616100	-78.596599
618.743777	-77.475631
618.871506	-81.221289
618.999288	-92.788879
619.127123	-83.743727
619.255011	-78.202442
619.382951	-77.388325
619.510945	-82.049162
619.638991	-86.089519
619.767090	-83.408125
619.895243	-78.086756
620.023448	-78.846828
620.151706	-81.883325
620.280017	-86.879141
620.408382	-83.929469
620.536799	-80.124778
620.665270	-80.407544
620.793794	-80.091373
620.922371	-85.080658
621.051002	-82.444468
621.179686	-81.371030
621.308423	-79.190218
621.437213	-80.584696
621.566057	-85.173503
621.694954	-83.158030
621.823905	-82.705107
621.952909	-80.978854
622.081967	-84.614382
622.211079	-80.171994
622.340244	-80.512399
622.469462	-80.106251
622.598735	-83.908317
622.728061	-82.557627
622.857441	-80.166389
622.986874	-80.989646
623.116361	-82.623407
623.245903	-86.607091
623.375498	-80.617719
623.505147	-81.074207
623.634850	-80.153980
623.764606	-82.680669
623.894417	-80.250069
624.024282	-80.967244
624.154201	-82.691337
624.284174	-83.802476
624.414202	-83.346126
624.544283	-80.896535
624.674419	-82.416493
624.804609	-80.586663
624.934853	-82.643530
625.065151	-79.783546
625.195504	-81.319116
625.325911	-80.764901
625.456373	-83.095077
625.586889	-83.558570
625.717460	-81.905900
625.848085	-81.628862
625.978764	-80.233583
626.109498	-82.817182
626.240287	-79.779290
626.371131	-81.725506
626.502029	-79.803202
626.632982	-83.462154
626.763989	-81.640499
626.895052	-82.769355
627.026169	-80.272035
627.157341	-80.358785
627.288568	-81.547715
627.419850	-82.587627
627.551187	-81.776656
627.682579	-78.124709
627.814026	-79.493160
627.945528	-80.766342
628.077085	-89.104589
628.208697	-79.440110
628.340364	-78.314996
628.472087	-77.815167
628.603865	-83.660051
628.735698	-84.243011
628.867586	-80.295588
628.999530	-76.923030
629.131529	-77.660127
629.263584	-82.007296
629.395694	-85.370736
629.527859	-80.630708
629.660080	-77.020646
629.792357	-78.925142
629.924689	-82.530892
630.057077	-85.307583
630.189520	-76.889367
630.322019	-76.845041
630.454574	-78.421852
630.587184	-85.255698
630.719851	-79.758598
630.852573	-78.311082
630.985351	-80.017941
631.118185	-83.916336
631.251075	-79.462561
631.384021	-76.968031
631.517023	-77.669178
631.650081	-79.412781
631.783195	-81.686764
