# 2022-03-22_13.39.10
# shape = sech2
# FWHM_ps = 0.11
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.16
# untap_len = 0.01
# taper_len = 0.1
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.38421052631578956
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-163.545965
600.163550	-161.681862
600.283723	-159.461313
600.403943	-157.817808
600.524212	-156.736216
600.644529	-156.068729
600.764895	-155.687120
600.885308	-155.517496
601.005770	-155.561649
601.126280	-155.904366
601.246839	-156.710979
601.367446	-158.246348
601.488101	-160.952926
601.608804	-165.240266
601.729557	-165.728248
601.850357	-160.491367
601.971206	-156.672904
602.092104	-154.234062
602.213050	-152.743554
602.334045	-151.978035
602.455089	-151.820169
602.576181	-152.196760
602.697322	-153.029768
602.818511	-154.160562
602.939749	-155.231823
603.061036	-155.707084
603.182372	-155.362060
603.303757	-154.577490
603.425191	-153.822594
603.546673	-153.333686
603.668204	-153.183988
603.789785	-153.382477
603.911414	-153.917230
604.033092	-154.764844
604.154820	-155.882357
604.276596	-157.188671
604.398422	-158.535601
604.520297	-159.644480
604.642220	-159.989831
604.764193	-158.994012
604.886216	-156.834110
605.008287	-154.296069
605.130408	-151.921508
605.252578	-149.912463
605.374798	-148.317271
605.497066	-147.133627
605.619385	-146.345948
605.741752	-145.937105
605.864169	-145.890996
605.986636	-146.191163
606.109152	-146.816405
606.231718	-147.732325
606.354333	-148.876584
606.476998	-150.137076
606.599712	-151.332530
606.722476	-152.228525
606.845290	-152.623432
606.968154	-152.454094
607.091067	-151.810720
607.214030	-150.867077
607.337043	-149.808657
607.460106	-148.788751
607.583219	-147.911088
607.706381	-147.231582
607.829594	-146.767475
607.952856	-146.506226
608.076169	-146.413301
608.199531	-146.442389
608.322944	-146.551308
608.446407	-146.720535
608.569920	-146.962608
608.693483	-147.311087
608.817096	-147.788872
608.940759	-148.363840
609.064473	-148.908168
609.188237	-149.216424
609.312051	-149.154241
609.435916	-148.817013
609.559831	-148.459690
609.683796	-148.316319
609.807812	-148.528254
609.931878	-149.152133
610.055995	-150.155028
610.180162	-151.351082
610.304380	-152.329915
610.428648	-152.679662
610.552967	-152.509412
610.677337	-152.337647
610.801757	-152.580076
610.926228	-153.412434
611.050750	-154.672712
611.175323	-155.338392
611.299946	-154.020280
611.424620	-151.564229
611.549345	-149.304959
611.674121	-147.617873
611.798948	-146.517861
611.923826	-145.970063
612.048755	-145.960193
612.173734	-146.513050
612.298765	-147.712378
612.423847	-149.752021
612.548980	-153.102999
612.674165	-159.328346
612.799400	-178.852275
612.924687	-159.237435
613.050025	-154.220656
613.175414	-151.817668
613.300854	-150.687653
613.426346	-150.406586
613.551889	-150.778128
613.677484	-151.645788
613.803130	-152.749445
613.928827	-153.589907
614.054576	-153.635742
614.180377	-152.947893
614.306229	-152.047395
614.432132	-151.288545
614.558087	-150.742691
614.684094	-150.307980
614.810153	-149.807187
614.936263	-149.105439
615.062425	-148.216491
615.188639	-147.284711
615.314904	-146.476292
615.441222	-145.907801
615.567591	-145.633518
615.694012	-145.645963
615.820486	-145.859244
615.947011	-146.080388
616.073588	-146.041049
616.200217	-145.583261
616.326898	-144.829087
616.453632	-144.060204
616.580417	-143.511883
616.707255	-143.318291
616.834144	-143.541814
616.961086	-144.192516
617.088081	-145.198090
617.215127	-146.293925
617.342226	-146.923484
617.469378	-146.629359
