# 2022-03-21_15.57.11
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.09000000000000001
# untap_len = 0.01
# taper_len = 0.03
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.2944444444444444
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-77.682951
600.163550	-77.656796
600.283723	-77.640903
600.403943	-77.635411
600.524212	-77.641097
600.644529	-77.657114
600.764895	-77.680995
600.885308	-77.708931
601.005770	-77.736416
601.126280	-77.758857
601.246839	-77.771995
601.367446	-77.772577
601.488101	-77.759198
601.608804	-77.732426
601.729557	-77.694451
601.850357	-77.648689
601.971206	-77.598961
602.092104	-77.548602
602.213050	-77.500123
602.334045	-77.454866
602.455089	-77.412566
602.576181	-77.371494
602.697322	-77.329093
602.818511	-77.282132
602.939749	-77.227213
603.061036	-77.161610
603.182372	-77.083766
603.303757	-76.993738
603.425191	-76.893079
603.546673	-76.784242
603.668204	-76.670291
603.789785	-76.554498
603.911414	-76.440071
604.033092	-76.329402
604.154820	-76.223538
604.276596	-76.122303
604.398422	-76.024574
604.520297	-75.928670
604.642220	-75.832535
604.764193	-75.734157
604.886216	-75.632056
605.008287	-75.525508
605.130408	-75.414701
605.252578	-75.300838
605.374798	-75.185838
605.497066	-75.072071
605.619385	-74.962143
605.741752	-74.858367
605.864169	-74.762255
605.986636	-74.674452
606.109152	-74.594849
606.231718	-74.522384
606.354333	-74.455203
606.476998	-74.390984
606.599712	-74.327171
606.722476	-74.261500
606.845290	-74.192163
606.968154	-74.118199
607.091067	-74.039711
607.214030	-73.957682
607.337043	-73.873912
607.460106	-73.790769
607.583219	-73.710784
607.706381	-73.636315
607.829594	-73.569240
607.952856	-73.510716
608.076169	-73.461119
608.199531	-73.419943
608.322944	-73.385853
608.446407	-73.356946
608.569920	-73.331107
608.693483	-73.306136
608.817096	-73.279980
608.940759	-73.251234
609.064473	-73.219341
