# 2022-03-22_09.19.31
# shape = sech2
# FWHM_ps = 0.11
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.11177777777777778
# untap_len = 0.01
# taper_len = 0.05177777777777778
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.1631578947368421
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-80.180594
600.163550	-80.808186
600.283723	-80.493216
600.403943	-80.777534
600.524212	-84.366711
600.644529	-86.442396
600.764895	-82.157001
600.885308	-80.463420
601.005770	-79.919806
601.126280	-79.319469
601.246839	-79.219235
601.367446	-81.149289
601.488101	-86.477089
601.608804	-84.935383
601.729557	-81.664133
601.850357	-81.016769
601.971206	-79.644393
602.092104	-78.537635
602.213050	-79.682133
602.334045	-83.619099
602.455089	-88.269877
602.576181	-86.193926
602.697322	-83.808057
602.818511	-80.873483
602.939749	-78.438673
603.061036	-78.351622
603.182372	-80.943994
603.303757	-84.907638
603.425191	-85.906031
603.546673	-85.196219
603.668204	-81.811127
603.789785	-78.577080
603.911414	-77.738222
604.033092	-79.094071
604.154820	-81.130053
604.276596	-82.122971
604.398422	-83.359690
604.520297	-83.958761
604.642220	-81.197470
604.764193	-78.972845
604.886216	-78.836595
605.008287	-79.433707
605.130408	-79.173336
605.252578	-80.409919
605.374798	-86.077205
605.497066	-87.861628
605.619385	-82.266861
605.741752	-80.244737
605.864169	-78.821463
605.986636	-77.684198
606.109152	-78.339279
606.231718	-82.554294
606.354333	-89.589777
606.476998	-84.453094
606.599712	-82.202065
606.722476	-79.827696
606.845290	-77.493025
606.968154	-77.401399
607.091067	-79.738304
607.214030	-81.864095
607.337043	-81.665412
607.460106	-83.076390
607.583219	-82.602090
607.706381	-79.200385
607.829594	-78.362426
607.952856	-79.608403
608.076169	-79.786448
608.199531	-79.306550
608.322944	-81.355896
608.446407	-83.727738
608.569920	-81.613840
608.693483	-81.269658
608.817096	-82.197350
608.940759	-80.603158
609.064473	-79.015995
609.188237	-80.275469
609.312051	-82.663810
609.435916	-81.071776
609.559831	-81.365885
609.683796	-82.384317
609.807812	-79.535386
609.931878	-78.822894
610.055995	-80.726886
610.180162	-81.506933
610.304380	-79.829876
610.428648	-79.469708
610.552967	-79.994605
610.677337	-78.898956
610.801757	-79.014219
610.926228	-81.895884
611.050750	-81.407597
611.175323	-79.056754
611.299946	-79.047244
611.424620	-80.116628
611.549345	-80.188061
611.674121	-80.687746
611.798948	-83.396650
611.923826	-80.934458
612.048755	-78.775080
612.173734	-80.234892
612.298765	-81.022781
612.423847	-79.906449
612.548980	-80.725753
612.674165	-81.581969
612.799400	-79.650196
612.924687	-78.868266
613.050025	-80.585057
613.175414	-79.866810
613.300854	-78.438195
613.426346	-79.696669
613.551889	-80.178661
613.677484	-78.999501
613.803130	-79.175402
613.928827	-80.491700
614.054576	-79.563849
614.180377	-78.502517
614.306229	-80.372450
614.432132	-80.637173
614.558087	-79.110336
614.684094	-80.731785
614.810153	-81.631380
614.936263	-79.506325
615.062425	-79.316193
615.188639	-80.337646
615.314904	-79.862521
615.441222	-79.720124
615.567591	-81.669176
615.694012	-79.933468
