# 2022-03-21_17.13.01
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.1288888888888889
# untap_len = 0.01
# taper_len = 0.06888888888888889
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.15555555555555556
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-82.997437
600.163550	-83.357356
600.283723	-93.695254
600.403943	-85.879771
600.524212	-85.542191
600.644529	-97.175604
600.764895	-84.764126
600.885308	-83.990854
601.005770	-91.170845
601.126280	-83.416437
601.246839	-82.493648
601.367446	-88.583399
601.488101	-84.218755
601.608804	-82.718915
601.729557	-90.910872
601.850357	-88.187636
601.971206	-86.330816
602.092104	-100.784705
602.213050	-84.049841
602.334045	-83.363522
602.455089	-87.911349
602.576181	-83.837155
602.697322	-83.228719
602.818511	-96.650287
602.939749	-87.229767
603.061036	-85.489594
603.182372	-87.778356
603.303757	-80.077980
603.425191	-79.722383
603.546673	-85.526642
603.668204	-83.819796
603.789785	-82.586333
603.911414	-96.060231
604.033092	-85.311322
604.154820	-83.367183
604.276596	-96.809608
604.398422	-84.783214
604.520297	-84.393388
604.642220	-94.232481
604.764193	-80.205510
604.886216	-79.292603
605.008287	-84.607684
605.130408	-81.701707
605.252578	-80.279191
605.374798	-87.940793
605.497066	-88.714948
605.619385	-88.020764
605.741752	-86.437778
605.864169	-78.170070
605.986636	-77.522471
606.109152	-80.826047
606.231718	-78.611849
606.354333	-77.471620
606.476998	-83.024766
606.599712	-90.668876
606.722476	-87.072085
606.845290	-92.923243
606.968154	-82.847444
607.091067	-82.879065
607.214030	-85.150699
607.337043	-79.992054
607.460106	-80.103350
607.583219	-86.526304
607.706381	-83.251716
607.829594	-83.334185
607.952856	-88.836942
608.076169	-81.576445
608.199531	-82.304730
608.322944	-86.736714
608.446407	-83.124593
608.569920	-86.053446
608.693483	-90.767311
608.817096	-85.499136
608.940759	-88.314149
609.064473	-83.111354
609.188237	-80.549069
609.312051	-82.712249
609.435916	-80.891155
609.559831	-79.460101
609.683796	-83.880412
609.807812	-84.242996
609.931878	-84.510967
610.055995	-111.985845
610.180162	-84.270289
610.304380	-84.926569
610.428648	-82.024543
610.552967	-77.231300
610.677337	-78.018928
610.801757	-81.352476
610.926228	-79.165407
611.050750	-81.490971
611.175323	-94.734425
611.299946	-84.989268
611.424620	-89.920605
611.549345	-79.505841
611.674121	-76.454193
611.798948	-80.551313
611.923826	-82.496293
612.048755	-79.547191
612.173734	-88.089498
612.298765	-83.316091
612.423847	-80.725336
612.548980	-86.887269
612.674165	-78.084963
612.799400	-76.945487
612.924687	-85.644959
613.050025	-84.034230
613.175414	-83.411275
613.300854	-89.138532
613.426346	-78.805744
613.551889	-81.068756
613.677484	-83.704716
613.803130	-77.062336
613.928827	-79.696982
614.054576	-90.991287
614.180377	-80.275369
614.306229	-85.524191
614.432132	-84.051641
614.558087	-78.430446
614.684094	-84.347990
614.810153	-83.117187
614.936263	-79.293289
615.062425	-89.926091
615.188639	-82.274002
615.314904	-80.476031
615.441222	-86.448565
615.567591	-77.782656
615.694012	-77.410832
615.820486	-83.200562
615.947011	-80.697442
616.073588	-81.896857
616.200217	-96.321386
616.326898	-82.939159
616.453632	-85.993612
616.580417	-85.118362
616.707255	-81.393875
616.834144	-86.655286
616.961086	-82.035642
617.088081	-79.797655
617.215127	-81.305069
617.342226	-78.699463
617.469378	-79.162177
617.596581	-83.356245
617.723837	-84.618094
617.851146	-92.925480
617.978507	-86.191861
618.105920	-82.231208
618.233386	-81.754849
618.360905	-78.464806
618.488476	-78.556766
618.616100	-79.947301
618.743777	-78.595717
618.871506	-81.242605
618.999288	-88.252477
619.127123	-86.594570
619.255011	-92.155959
619.382951	-80.500025
619.510945	-79.143741
619.638991	-81.120103
619.767090	-77.876826
619.895243	-78.930952
620.023448	-86.185761
620.151706	-81.021474
620.280017	-84.543632
620.408382	-85.521120
620.536799	-80.252947
620.665270	-86.944016
620.793794	-80.315330
620.922371	-78.109284
621.051002	-83.834941
621.179686	-79.956857
621.308423	-80.141105
621.437213	-94.479122
621.566057	-81.996919
621.694954	-85.380381
