# 2022-03-21_22.40.12
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.11866666666666668
# untap_len = 0.01
# taper_len = 0.05866666666666667
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.1473684210526316
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-78.248174
600.163550	-81.345591
600.283723	-88.092064
600.403943	-85.339637
600.524212	-78.704250
600.644529	-76.388442
600.764895	-76.461322
600.885308	-78.989049
601.005770	-85.937072
601.126280	-86.896246
601.246839	-80.452800
601.367446	-77.260315
601.488101	-76.386301
601.608804	-76.836373
601.729557	-79.289045
601.850357	-85.058788
601.971206	-85.936580
602.092104	-80.084225
602.213050	-77.310180
602.334045	-77.900239
602.455089	-80.521601
602.576181	-84.032095
602.697322	-83.300787
602.818511	-79.152650
602.939749	-78.347722
603.061036	-77.926682
603.182372	-78.825179
603.303757	-82.249883
603.425191	-83.417754
603.546673	-80.537400
603.668204	-77.227585
603.789785	-76.715637
603.911414	-79.550892
604.033092	-85.504615
604.154820	-84.813498
604.276596	-78.332104
604.398422	-76.390569
604.520297	-77.411664
604.642220	-80.050843
604.764193	-84.159236
604.886216	-82.456242
605.008287	-79.055371
605.130408	-77.405515
605.252578	-76.382155
605.374798	-77.278385
605.497066	-80.836436
605.619385	-88.052691
605.741752	-83.548859
605.864169	-77.427064
605.986636	-75.473875
606.109152	-76.203930
606.231718	-78.881874
606.354333	-87.325144
606.476998	-82.442343
606.599712	-77.184266
606.722476	-75.625310
606.845290	-75.577146
606.968154	-79.205238
607.091067	-85.898390
607.214030	-83.158682
607.337043	-78.213881
607.460106	-76.076841
607.583219	-77.906757
607.706381	-80.141536
607.829594	-84.336708
607.952856	-81.834538
608.076169	-77.507343
608.199531	-76.474576
608.322944	-76.093462
608.446407	-78.539935
608.569920	-83.049370
608.693483	-81.777979
608.817096	-78.725907
608.940759	-77.000035
609.064473	-78.678299
609.188237	-82.486768
609.312051	-83.198559
609.435916	-79.791098
609.559831	-76.455393
609.683796	-76.127986
609.807812	-77.222849
609.931878	-79.284829
610.055995	-83.066437
610.180162	-80.227188
610.304380	-78.571482
610.428648	-78.761889
610.552967	-78.908867
610.677337	-79.958122
610.801757	-77.691291
610.926228	-79.396877
611.050750	-82.736157
611.175323	-81.664412
611.299946	-77.358939
611.424620	-74.311230
611.549345	-75.511979
611.674121	-77.708449
611.798948	-82.343382
611.923826	-85.128300
612.048755	-79.908427
612.173734	-78.001440
612.298765	-75.243796
612.423847	-76.669442
612.548980	-79.864474
612.674165	-83.673422
612.799400	-80.209757
612.924687	-75.679508
613.050025	-75.598846
613.175414	-75.809919
613.300854	-78.469514
613.426346	-84.366173
613.551889	-83.411734
613.677484	-79.629587
613.803130	-75.651264
613.928827	-75.949334
614.054576	-77.621140
614.180377	-80.028703
614.306229	-81.046770
614.432132	-77.249468
614.558087	-77.435258
614.684094	-77.731458
614.810153	-79.029764
614.936263	-80.886521
615.062425	-80.268656
615.188639	-80.545858
615.314904	-76.915349
615.441222	-76.347501
615.567591	-76.988084
615.694012	-79.063338
615.820486	-82.885862
615.947011	-77.345213
616.073588	-76.127112
616.200217	-75.815341
616.326898	-78.591148
616.453632	-86.552460
616.580417	-79.922204
616.707255	-77.125812
616.834144	-74.899352
616.961086	-76.737882
617.088081	-79.689889
617.215127	-80.897761
617.342226	-79.111125
617.469378	-76.428067
617.596581	-77.454291
617.723837	-76.588112
617.851146	-79.107759
617.978507	-82.253638
618.105920	-81.048680
618.233386	-78.213164
618.360905	-75.369153
618.488476	-77.191356
618.616100	-77.302741
618.743777	-78.827363
618.871506	-78.504411
618.999288	-79.040552
619.127123	-80.296241
619.255011	-76.945004
619.382951	-77.832060
619.510945	-78.005688
619.638991	-80.956518
619.767090	-78.201546
619.895243	-76.180032
620.023448	-77.889026
620.151706	-78.210126
620.280017	-80.691156
620.408382	-77.148169
620.536799	-77.536500
620.665270	-77.735592
620.793794	-77.571373
620.922371	-79.995137
621.051002	-79.134210
621.179686	-80.958688
621.308423	-76.131613
621.437213	-76.473678
621.566057	-76.691836
621.694954	-78.597978
621.823905	-80.686575
621.952909	-78.437941
622.081967	-79.456685
622.211079	-76.464083
622.340244	-76.643180
622.469462	-76.501602
622.598735	-79.151485
622.728061	-84.312222
622.857441	-78.856573
622.986874	-76.653628
623.116361	-73.880748
623.245903	-75.173395
623.375498	-76.183582
623.505147	-81.094639
623.634850	-84.434169
623.764606	-77.213468
623.894417	-74.067347
624.024282	-73.231545
624.154201	-78.649074
624.284174	-86.343110
624.414202	-80.147476
624.544283	-73.672573
624.674419	-72.920196
624.804609	-75.077229
624.934853	-78.776787
625.065151	-94.300319
625.195504	-77.834216
625.325911	-75.482849
625.456373	-73.442204
625.586889	-76.087326
625.717460	-80.665485
625.848085	-81.857491
625.978764	-77.233218
626.109498	-74.243944
626.240287	-76.530647
626.371131	-79.131880
626.502029	-97.971854
626.632982	-76.807614
626.763989	-74.658094
626.895052	-73.526039
627.026169	-75.149175
627.157341	-82.319499
627.288568	-81.056945
627.419850	-80.086932
627.551187	-75.233558
627.682579	-77.311212
627.814026	-77.357993
627.945528	-85.894925
628.077085	-78.602366
628.208697	-76.496406
628.340364	-74.714183
628.472087	-76.006148
628.603865	-80.368624
628.735698	-78.972080
628.867586	-80.513479
628.999530	-78.663490
629.131529	-80.505079
629.263584	-78.418619
629.395694	-78.611819
629.527859	-77.680268
629.660080	-75.462615
629.792357	-77.379493
629.924689	-78.229165
630.057077	-86.890668
630.189520	-77.821173
630.322019	-78.396683
630.454574	-76.722259
630.587184	-80.157793
630.719851	-78.529032
630.852573	-78.396031
630.985351	-77.933711
631.118185	-76.547396
631.251075	-80.231663
631.384021	-80.103800
631.517023	-82.241073
631.650081	-75.090398
631.783195	-76.702075
631.916365	-78.856293
632.049592	-92.533228
632.182874	-76.239616
632.316213	-74.510644
632.449608	-75.446052
632.583059	-77.207959
632.716567	-90.854966
632.850131	-80.561708
