# 2022-03-22_09.44.16
# shape = sech2
# FWHM_ps = 0.11
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.11866666666666668
# untap_len = 0.01
# taper_len = 0.05866666666666667
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.1
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-83.701024
600.163550	-82.840633
600.283723	-84.146235
600.403943	-81.770537
600.524212	-84.401386
600.644529	-82.351628
600.764895	-83.060289
600.885308	-82.979138
601.005770	-82.733322
601.126280	-82.122249
601.246839	-83.331535
601.367446	-83.716267
601.488101	-82.444234
601.608804	-83.398190
601.729557	-83.282149
601.850357	-82.874496
601.971206	-83.413738
602.092104	-82.913660
602.213050	-83.086072
602.334045	-82.138782
602.455089	-83.969140
602.576181	-81.313798
602.697322	-83.452968
602.818511	-82.239706
602.939749	-82.612295
603.061036	-82.242189
603.182372	-82.227773
603.303757	-83.735262
603.425191	-81.072326
603.546673	-84.507934
603.668204	-81.178391
603.789785	-83.658331
603.911414	-81.227806
604.033092	-84.713197
604.154820	-80.661408
604.276596	-84.981120
604.398422	-81.208779
604.520297	-83.031646
604.642220	-81.927384
604.764193	-82.120674
604.886216	-83.597549
605.008287	-80.761502
605.130408	-82.670464
605.252578	-82.385894
605.374798	-80.870585
605.497066	-82.814026
605.619385	-81.391755
605.741752	-82.654930
605.864169	-80.883438
605.986636	-84.622137
606.109152	-79.784968
606.231718	-84.602810
606.354333	-80.399820
606.476998	-83.540953
606.599712	-81.218333
606.722476	-80.884449
606.845290	-82.398396
606.968154	-80.850783
607.091067	-81.637717
607.214030	-81.497173
607.337043	-82.277319
607.460106	-80.255788
607.583219	-83.075885
607.706381	-80.657459
607.829594	-82.245207
607.952856	-80.720596
608.076169	-82.074800
608.199531	-81.218620
608.322944	-82.326830
608.446407	-79.783265
608.569920	-83.857065
608.693483	-79.924196
608.817096	-82.412214
608.940759	-80.977356
609.064473	-81.933875
609.188237	-79.965892
609.312051	-82.059859
609.435916	-80.360832
609.559831	-81.558875
609.683796	-81.469386
609.807812	-80.372323
609.931878	-82.234093
610.055995	-81.671332
610.180162	-79.667502
610.304380	-84.038869
610.428648	-79.305943
610.552967	-83.015272
610.677337	-80.037045
610.801757	-81.866245
610.926228	-80.540266
611.050750	-80.964929
611.175323	-80.374083
611.299946	-80.766551
611.424620	-81.123770
611.549345	-79.845580
611.674121	-80.482921
611.798948	-81.638071
611.923826	-79.924624
612.048755	-82.378561
612.173734	-79.331098
612.298765	-83.139003
612.423847	-79.669219
612.548980	-81.577338
612.674165	-80.186612
612.799400	-81.584096
612.924687	-79.516928
613.050025	-82.042793
613.175414	-78.096852
613.300854	-84.963883
613.426346	-77.682457
613.551889	-83.504684
613.677484	-78.677149
613.803130	-82.267226
613.928827	-79.949763
614.054576	-80.922666
614.180377	-80.204758
614.306229	-81.236940
614.432132	-79.262419
614.558087	-81.177109
614.684094	-79.229850
614.810153	-80.339861
614.936263	-80.859999
615.062425	-78.822302
615.188639	-81.420300
615.314904	-79.231019
615.441222	-81.531902
615.567591	-79.538635
615.694012	-80.552513
615.820486	-80.173058
615.947011	-80.575916
616.073588	-79.075212
616.200217	-81.405905
616.326898	-77.938612
616.453632	-81.607331
616.580417	-79.837324
616.707255	-78.893933
616.834144	-81.057928
616.961086	-79.206432
617.088081	-79.967765
617.215127	-80.172101
617.342226	-78.781296
617.469378	-80.401694
617.596581	-79.739390
617.723837	-79.463532
617.851146	-80.650666
617.978507	-79.273633
618.105920	-79.457380
618.233386	-80.932791
618.360905	-78.530495
618.488476	-80.019411
618.616100	-79.113908
618.743777	-78.994074
618.871506	-80.249589
618.999288	-78.682479
619.127123	-80.245359
619.255011	-79.947167
619.382951	-79.178740
619.510945	-80.373718
619.638991	-79.992098
619.767090	-78.105314
619.895243	-81.240426
620.023448	-78.030704
620.151706	-80.716276
620.280017	-79.183438
620.408382	-79.728383
620.536799	-79.750891
620.665270	-80.688424
620.793794	-78.689468
620.922371	-81.025943
621.051002	-78.136888
621.179686	-80.191073
621.308423	-78.450633
621.437213	-81.074717
621.566057	-78.020743
621.694954	-82.224036
621.823905	-77.714491
621.952909	-82.973824
622.081967	-77.715847
622.211079	-81.312872
622.340244	-77.690442
622.469462	-80.890991
622.598735	-78.448381
622.728061	-80.098797
622.857441	-79.839205
622.986874	-79.945986
623.116361	-78.617443
623.245903	-81.487776
623.375498	-77.735051
623.505147	-80.520641
623.634850	-78.705206
623.764606	-78.902740
623.894417	-79.378591
624.024282	-80.281581
624.154201	-78.885928
