# 2022-03-22_00.39.33
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.13933333333333334
# untap_len = 0.01
# taper_len = 0.07933333333333334
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.33684210526315794
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-116.624184
600.163550	-116.254667
600.283723	-115.904391
600.403943	-115.572145
600.524212	-115.258812
600.644529	-114.965326
600.764895	-114.692411
600.885308	-114.440464
601.005770	-114.209539
601.126280	-113.999424
601.246839	-113.809841
601.367446	-113.640796
601.488101	-113.492868
601.608804	-113.367524
601.729557	-113.267262
601.850357	-113.195559
601.971206	-113.156729
602.092104	-113.155603
602.213050	-113.197175
602.334045	-113.286283
602.455089	-113.427320
602.576181	-113.624095
602.697322	-113.879834
602.818511	-114.197327
602.939749	-114.579206
603.061036	-115.028218
603.182372	-115.547473
603.303757	-116.140661
603.425191	-116.812201
603.546673	-117.567126
603.668204	-118.410476
603.789785	-119.345911
603.911414	-120.372782
604.033092	-121.480147
604.154820	-122.635161
604.276596	-123.763896
604.398422	-124.731325
604.520297	-125.353029
604.642220	-125.483265
604.764193	-125.130182
604.886216	-124.448481
605.008287	-123.621109
605.130408	-122.778790
605.252578	-121.993525
605.374798	-121.299213
605.497066	-120.709684
605.619385	-120.229155
605.741752	-119.857162
605.864169	-119.590914
605.986636	-119.426143
606.109152	-119.357431
606.231718	-119.378381
606.354333	-119.481802
606.476998	-119.660013
606.599712	-119.905196
606.722476	-120.209512
606.845290	-120.565308
606.968154	-120.964946
607.091067	-121.400233
607.214030	-121.861643
607.337043	-122.337312
607.460106	-122.812126
607.583219	-123.267462
607.706381	-123.681733
607.829594	-124.032116
607.952856	-124.297636
608.076169	-124.462626
608.199531	-124.519497
608.322944	-124.470238
608.446407	-124.326045
608.569920	-124.104872
608.693483	-123.827879
608.817096	-123.515574
608.940759	-123.184537
609.064473	-122.844985
609.188237	-122.499870
609.312051	-122.145858
609.435916	-121.776001
609.559831	-121.383765
609.683796	-120.967134
609.807812	-120.531283
609.931878	-120.088754
610.055995	-119.657072
610.180162	-119.255377
610.304380	-118.900897
610.428648	-118.606702
610.552967	-118.380710
610.677337	-118.225460
610.801757	-118.138722
610.926228	-118.114550
611.050750	-118.144557
611.175323	-118.219637
611.299946	-118.331559
611.424620	-118.474071
611.549345	-118.643368
611.674121	-118.837462
611.798948	-119.054796
611.923826	-119.292539
612.048755	-119.545072
612.173734	-119.803364
612.298765	-120.056057
612.423847	-120.291493
612.548980	-120.499995
612.674165	-120.675397
612.799400	-120.814389
612.924687	-120.913347
613.050025	-120.965092
613.175414	-120.957683
613.300854	-120.877065
613.426346	-120.713135
613.551889	-120.466678
613.677484	-120.152031
613.803130	-119.793481
613.928827	-119.417775
614.054576	-119.046492
614.180377	-118.691594
614.306229	-118.354756
614.432132	-118.029871
614.558087	-117.707595
614.684094	-117.380633
614.810153	-117.048011
614.936263	-116.716535
615.062425	-116.399202
615.188639	-116.111778
615.314904	-115.868832
615.441222	-115.680498
615.567591	-115.551008
615.694012	-115.478348
615.820486	-115.455004
615.947011	-115.469583
616.073588	-115.509172
616.200217	-115.561879
616.326898	-115.618929
616.453632	-115.675674
616.580417	-115.731119
616.707255	-115.786021
616.834144	-115.840787
616.961086	-115.894123
617.088081	-115.942747
617.215127	-115.982721
617.342226	-116.011607
617.469378	-116.030608
617.596581	-116.045861
617.723837	-116.067884
617.851146	-116.109642
617.978507	-116.184093
618.105920	-116.302046
618.233386	-116.470821
618.360905	-116.693681
618.488476	-116.970537
618.616100	-117.299352
618.743777	-117.677937
618.871506	-118.106382
618.999288	-118.589282
619.127123	-119.137463
619.255011	-119.768790
619.382951	-120.508368
619.510945	-121.389047
619.638991	-122.452594
619.767090	-123.752930
619.895243	-125.364235
620.023448	-127.396633
620.151706	-130.025349
620.280017	-133.517590
620.408382	-137.818898
620.536799	-139.074086
620.665270	-135.653090
620.793794	-132.566946
620.922371	-130.396903
621.051002	-128.863239
621.179686	-127.765279
621.308423	-126.984345
621.437213	-126.451529
621.566057	-126.127918
621.694954	-125.991885
621.823905	-126.028997
621.952909	-126.221515
622.081967	-126.535493
622.211079	-126.902350
622.340244	-127.204985
622.469462	-127.291709
622.598735	-127.044938
622.728061	-126.465971
622.857441	-125.672061
622.986874	-124.809191
623.116361	-123.984475
623.245903	-123.253755
623.375498	-122.634567
623.505147	-122.122177
623.634850	-121.701005
623.764606	-121.352731
623.894417	-121.061929
624.024282	-120.819315
624.154201	-120.623008
624.284174	-120.477051
624.414202	-120.388071
624.544283	-120.361367
624.674419	-120.397524
624.804609	-120.489381
624.934853	-120.619715
625.065151	-120.760943
625.195504	-120.877580
625.325911	-120.932805
625.456373	-120.898403
625.586889	-120.764004
625.717460	-120.540649
625.848085	-120.255226
625.978764	-119.940081
626.109498	-119.623912
626.240287	-119.326701
626.371131	-119.059026
