# 2022-03-22_01.54.50
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.15311111111111111
# untap_len = 0.01
# taper_len = 0.09311111111111112
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.38421052631578956
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-159.576376
600.163550	-158.967197
600.283723	-157.813928
600.403943	-156.085605
600.524212	-154.131782
600.644529	-152.301992
600.764895	-150.775045
600.885308	-149.613902
601.005770	-148.834623
601.126280	-148.442321
601.246839	-148.447355
601.367446	-148.874383
601.488101	-149.771544
601.608804	-151.226145
601.729557	-153.398499
601.850357	-156.605447
601.971206	-161.523334
602.092104	-167.993437
602.213050	-165.001860
602.334045	-160.886207
602.455089	-158.718661
602.576181	-157.509822
602.697322	-156.547674
602.818511	-155.342092
602.939749	-153.815238
603.061036	-152.221616
603.182372	-150.817379
603.303757	-149.728762
603.425191	-148.986820
603.546673	-148.573742
603.668204	-148.444305
603.789785	-148.530866
603.911414	-148.743770
604.033092	-148.978836
604.154820	-149.140775
604.276596	-149.175521
604.398422	-149.084874
604.520297	-148.907732
604.642220	-148.687323
604.764193	-148.452196
604.886216	-148.217850
605.008287	-147.999596
605.130408	-147.824986
605.252578	-147.738913
605.374798	-147.801413
605.497066	-148.083220
605.619385	-148.664802
605.741752	-149.643212
605.864169	-151.152622
605.986636	-153.416797
606.109152	-156.909650
606.231718	-163.106474
606.354333	-211.042071
606.476998	-164.227652
606.599712	-159.021516
606.722476	-156.489903
606.845290	-155.080898
606.968154	-154.231761
607.091067	-153.629895
607.214030	-153.106621
607.337043	-152.631659
607.460106	-152.278989
607.583219	-152.163306
607.706381	-152.399036
607.829594	-153.099714
607.952856	-154.408406
608.076169	-156.562675
608.199531	-160.019743
608.322944	-165.040153
608.446407	-164.251111
608.569920	-159.026319
608.693483	-155.422940
608.817096	-152.959866
608.940759	-151.188402
609.064473	-149.870510
609.188237	-148.869086
609.312051	-148.098655
609.435916	-147.503728
609.559831	-147.048040
609.683796	-146.707997
609.807812	-146.467601
609.931878	-146.314105
610.055995	-146.235002
610.180162	-146.217497
610.304380	-146.251268
610.428648	-146.334134
610.552967	-146.478243
610.677337	-146.713327
610.801757	-147.085008
610.926228	-147.648812
611.050750	-148.461147
611.175323	-149.564092
611.299946	-150.949021
611.424620	-152.465131
611.549345	-153.680840
611.674121	-154.037024
611.798948	-153.547556
611.923826	-152.796661
612.048755	-152.236082
612.173734	-152.026902
612.298765	-152.164537
612.423847	-152.550557
612.548980	-153.021957
612.674165	-153.413632
612.799400	-153.670868
612.924687	-153.896611
613.050025	-154.252685
613.175414	-154.806087
613.300854	-155.377353
613.426346	-155.461596
613.551889	-154.647958
613.677484	-153.234860
613.803130	-151.806304
613.928827	-150.692406
614.054576	-149.999212
614.180377	-149.741015
614.306229	-149.904068
614.432132	-150.467694
614.558087	-151.408734
614.684094	-152.699465
614.810153	-154.302738
614.936263	-156.168816
615.062425	-158.245482
615.188639	-160.521224
615.314904	-163.109140
615.441222	-166.293950
615.567591	-169.723746
615.694012	-168.667348
615.820486	-164.132946
615.947011	-160.344919
616.073588	-157.467818
616.200217	-155.232072
616.326898	-153.440818
616.453632	-151.954408
616.580417	-150.672519
616.707255	-149.533780
616.834144	-148.519228
616.961086	-147.647171
617.088081	-146.958051
617.215127	-146.497092
617.342226	-146.300854
617.469378	-146.386504
617.596581	-146.737270
617.723837	-147.277729
617.851146	-147.848005
617.978507	-148.232216
618.105920	-148.306022
618.233386	-148.178299
618.360905	-148.116042
618.488476	-148.380874
618.616100	-149.175094
618.743777	-150.661399
618.871506	-152.905812
618.999288	-155.260576
619.127123	-155.271768
619.255011	-152.983401
619.382951	-150.832513
619.510945	-149.435581
619.638991	-148.705367
619.767090	-148.444470
619.895243	-148.407367
620.023448	-148.333708
620.151706	-148.076435
620.280017	-147.710763
620.408382	-147.453985
620.536799	-147.514516
620.665270	-148.030213
620.793794	-149.056967
620.922371	-150.491710
621.051002	-151.816420
621.179686	-152.072135
621.308423	-151.146863
621.437213	-150.005454
621.566057	-149.307780
621.694954	-149.280350
621.823905	-150.027267
621.952909	-151.685067
622.081967	-154.477759
622.211079	-158.291977
622.340244	-159.354732
622.469462	-156.139692
622.598735	-153.469579
622.728061	-151.946836
622.857441	-151.260251
622.986874	-151.051230
623.116361	-150.836729
623.245903	-150.100234
623.375498	-148.744397
623.505147	-147.143853
623.634850	-145.663327
623.764606	-144.463459
623.894417	-143.570533
624.024282	-142.948950
624.154201	-142.534066
624.284174	-142.247744
624.414202	-142.014055
624.544283	-141.779992
624.674419	-141.532664
624.804609	-141.300215
624.934853	-141.135954
625.065151	-141.098895
625.195504	-141.242286
625.325911	-141.612076
625.456373	-142.252100
625.586889	-143.213308
625.717460	-144.567498
625.848085	-146.430811
625.978764	-149.011857
626.109498	-152.714144
626.240287	-158.031246
626.371131	-159.804867
626.502029	-155.130649
626.632982	-151.800514
626.763989	-149.747135
626.895052	-148.441250
627.026169	-147.541441
627.157341	-146.790979
627.288568	-146.013930
627.419850	-145.159587
627.551187	-144.298912
627.682579	-143.554551
627.814026	-143.036207
627.945528	-142.820528
628.077085	-142.958607
628.208697	-143.489100
628.340364	-144.447175
628.472087	-145.861863
628.603865	-147.714947
628.735698	-149.763742
628.867586	-151.134918
628.999530	-150.762226
629.131529	-149.165130
629.263584	-147.388042
629.395694	-145.785469
629.527859	-144.363175
629.660080	-143.070237
629.792357	-141.888169
629.924689	-140.841416
630.057077	-139.980214
630.189520	-139.361411
630.322019	-139.038224
630.454574	-139.058464
630.587184	-139.466716
630.719851	-140.306043
630.852573	-141.613003
630.985351	-143.388703
631.118185	-145.495226
631.251075	-147.419429
631.384021	-148.319636
631.517023	-148.114717
631.650081	-147.585551
631.783195	-147.229019
631.916365	-147.122148
632.049592	-147.194662
632.182874	-147.384890
632.316213	-147.655383
632.449608	-147.869952
632.583059	-147.649887
632.716567	-146.609484
632.850131	-144.920120
632.983751	-143.115592
633.117428	-141.554122
633.251161	-140.358869
633.384951	-139.533529
