# 2022-03-22_11.06.16
# shape = sech2
# FWHM_ps = 0.11
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.13244444444444445
# untap_len = 0.01
# taper_len = 0.07244444444444445
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.27368421052631586
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-86.415154
600.163550	-86.341560
600.283723	-86.245986
600.403943	-86.130165
600.524212	-86.000233
600.644529	-85.863644
600.764895	-85.727489
600.885308	-85.597076
601.005770	-85.475695
601.126280	-85.364100
601.246839	-85.260282
601.367446	-85.159990
601.488101	-85.057608
601.608804	-84.947493
601.729557	-84.824721
601.850357	-84.686145
601.971206	-84.530790
602.092104	-84.359838
602.213050	-84.177007
602.334045	-83.988241
602.455089	-83.800185
602.576181	-83.618717
602.697322	-83.448325
602.818511	-83.292123
602.939749	-83.151675
603.061036	-83.027029
603.182372	-82.916412
603.303757	-82.816264
603.425191	-82.722333
603.546673	-82.630527
603.668204	-82.537240
603.789785	-82.439044
603.911414	-82.332970
604.033092	-82.217055
604.154820	-82.090598
604.276596	-81.954710
604.398422	-81.812061
604.520297	-81.665928
604.642220	-81.519923
604.764193	-81.377950
604.886216	-81.243152
605.008287	-81.117353
605.130408	-81.000922
605.252578	-80.893206
605.374798	-80.792717
605.497066	-80.697126
605.619385	-80.603235
605.741752	-80.507169
605.864169	-80.405756
605.986636	-80.297026
606.109152	-80.179787
606.231718	-80.053619
606.354333	-79.919099
606.476998	-79.777879
606.599712	-79.632933
606.722476	-79.488049
606.845290	-79.346527
606.968154	-79.210798
607.091067	-79.082609
607.214030	-78.963204
607.337043	-78.853116
607.460106	-78.751947
607.583219	-78.658299
607.706381	-78.570288
607.829594	-78.486144
607.952856	-78.404347
608.076169	-78.323411
608.199531	-78.242048
608.322944	-78.159578
608.446407	-78.076216
