# 2022-03-22_02.28.06
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.16
# untap_len = 0.01
# taper_len = 0.1
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.3526315789473685
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-150.589223
600.163550	-150.273920
600.283723	-150.430276
600.403943	-151.186632
600.524212	-152.711798
600.644529	-155.184340
600.764895	-158.103195
600.885308	-157.997032
601.005770	-154.938473
601.126280	-152.410245
601.246839	-150.929754
601.367446	-150.330111
601.488101	-150.340792
601.608804	-150.386659
601.729557	-149.530484
601.850357	-147.532881
601.971206	-145.181883
602.092104	-143.077250
602.213050	-141.390356
602.334045	-140.117862
602.455089	-139.209448
602.576181	-138.604316
602.697322	-138.238228
602.818511	-138.045124
602.939749	-137.961488
603.061036	-137.935314
603.182372	-137.938434
603.303757	-137.974698
603.425191	-138.076868
603.546673	-138.295687
603.668204	-138.689439
603.789785	-139.318343
603.911414	-140.246088
604.033092	-141.548404
604.154820	-143.328317
604.276596	-145.745070
604.398422	-149.059437
604.520297	-153.498938
604.642220	-156.497156
604.764193	-153.530948
604.886216	-150.151655
605.008287	-147.697861
605.130408	-145.807620
605.252578	-144.222747
605.374798	-142.835614
605.497066	-141.632311
605.619385	-140.640407
605.741752	-139.895652
605.864169	-139.427847
605.986636	-139.257364
606.109152	-139.393170
606.231718	-139.824141
606.354333	-140.495149
606.476998	-141.261296
606.599712	-141.850014
606.722476	-141.958851
606.845290	-141.529785
606.968154	-140.810839
607.091067	-140.085634
607.214030	-139.494260
607.337043	-139.033408
607.460106	-138.602098
607.583219	-138.062059
607.706381	-137.326122
607.829594	-136.423353
607.952856	-135.470590
608.076169	-134.592556
608.199531	-133.873126
608.322944	-133.349497
608.446407	-133.022784
608.569920	-132.868358
608.693483	-132.844295
608.817096	-132.901567
608.940759	-132.998532
609.064473	-133.116375
609.188237	-133.266398
609.312051	-133.482690
609.435916	-133.803672
609.559831	-134.250388
609.683796	-134.805248
609.807812	-135.393095
609.931878	-135.878749
610.055995	-136.115278
610.180162	-136.041995
610.304380	-135.731132
610.428648	-135.316326
610.552967	-134.894984
610.677337	-134.490811
610.801757	-134.068473
610.926228	-133.573725
611.050750	-132.979259
611.175323	-132.309288
611.299946	-131.626939
611.424620	-131.002307
611.549345	-130.488684
611.674121	-130.115507
611.798948	-129.891457
611.923826	-129.810859
612.048755	-129.860708
612.173734	-130.027569
612.298765	-130.303295
612.423847	-130.687883
612.548980	-131.187856
612.674165	-131.808580
612.799400	-132.538295
612.924687	-133.323123
613.050025	-134.038816
613.175414	-134.492832
613.300854	-134.519019
613.426346	-134.122117
613.551889	-133.478528
613.677484	-132.792495
613.803130	-132.200115
613.928827	-131.764337
614.054576	-131.498744
614.180377	-131.385717
614.306229	-131.386351
614.432132	-131.449146
614.558087	-131.524403
614.684094	-131.584551
614.810153	-131.640974
614.936263	-131.745071
615.062425	-131.973070
615.188639	-132.408731
615.314904	-133.134885
615.441222	-134.236022
615.567591	-135.811918
615.694012	-138.007693
615.820486	-141.086609
615.947011	-145.636765
616.073588	-152.543389
616.200217	-150.967504
616.326898	-145.110805
616.453632	-141.309485
616.580417	-138.520348
616.707255	-136.317155
616.834144	-134.551647
616.961086	-133.165219
617.088081	-132.121747
617.215127	-131.383732
617.342226	-130.902452
617.469378	-130.612376
617.596581	-130.430205
617.723837	-130.265174
617.851146	-130.045178
617.978507	-129.746434
618.105920	-129.401072
618.233386	-129.074517
618.360905	-128.833068
618.488476	-128.723091
618.616100	-128.764655
618.743777	-128.952269
618.871506	-129.257823
618.999288	-129.636142
619.127123	-130.036144
619.255011	-130.418636
619.382951	-130.773778
619.510945	-131.125931
619.638991	-131.521834
619.767090	-132.010478
619.895243	-132.624645
620.023448	-133.365739
620.151706	-134.187916
620.280017	-134.982751
620.408382	-135.586613
620.536799	-135.851068
620.665270	-135.750843
620.793794	-135.402979
620.922371	-134.969530
621.051002	-134.569717
621.179686	-134.261866
621.308423	-134.059590
621.437213	-133.950650
621.566057	-133.912008
621.694954	-133.921379
621.823905	-133.965266
621.952909	-134.042750
622.081967	-134.164590
622.211079	-134.348725
622.340244	-134.614276
622.469462	-134.976415
622.598735	-135.442349
622.728061	-136.008084
622.857441	-136.657559
622.986874	-137.364200
623.116361	-138.093810
623.245903	-138.806255
623.375498	-139.450048
623.505147	-139.949419
623.634850	-140.204606
623.764606	-140.139326
623.894417	-139.776279
624.024282	-139.248762
624.154201	-138.725266
624.284174	-138.335697
624.414202	-138.147082
624.544283	-138.167490
624.674419	-138.356599
624.804609	-138.643435
624.934853	-138.964566
625.065151	-139.315941
625.195504	-139.784207
625.325911	-140.535240
625.456373	-141.789549
625.586889	-143.828464
625.717460	-146.971291
625.848085	-150.434563
625.978764	-149.113109
626.109498	-145.466618
626.240287	-142.925795
626.371131	-141.473744
626.502029	-140.864263
