# 2022-03-21_21.46.26
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.10488888888888889
# untap_len = 0.01
# taper_len = 0.04488888888888889
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.21052631578947373
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-81.824669
600.163550	-81.217784
600.283723	-80.742795
600.403943	-80.515313
600.524212	-80.611380
600.644529	-81.082025
600.764895	-82.050424
600.885308	-83.696941
601.005770	-86.369967
601.126280	-90.985590
601.246839	-101.892730
601.367446	-97.249081
601.488101	-89.914152
601.608804	-86.441398
601.729557	-84.424479
601.850357	-83.268372
601.971206	-82.694485
602.092104	-82.492064
602.213050	-82.450359
602.334045	-82.283728
602.455089	-81.834454
602.576181	-81.141393
602.697322	-80.372314
602.818511	-79.676810
602.939749	-79.147919
603.061036	-78.824133
603.182372	-78.717174
603.303757	-78.818903
603.425191	-79.064116
603.546673	-79.369565
603.668204	-79.687205
603.789785	-80.074301
603.911414	-80.638846
604.033092	-81.527320
604.154820	-82.905967
604.276596	-84.957145
604.398422	-88.026814
604.520297	-92.889587
604.642220	-98.749074
604.764193	-94.307088
604.886216	-89.898928
605.008287	-87.349976
605.130408	-85.730748
605.252578	-84.467184
605.374798	-83.286674
605.497066	-82.119814
605.619385	-81.043244
605.741752	-80.127013
605.864169	-79.394671
605.986636	-78.829741
606.109152	-78.418837
606.231718	-78.148642
606.354333	-78.029363
606.476998	-78.055125
606.599712	-78.232032
606.722476	-78.570671
606.845290	-79.080470
606.968154	-79.784167
607.091067	-80.657591
607.214030	-81.691905
607.337043	-82.923612
607.460106	-84.456414
607.583219	-86.618707
607.706381	-89.994371
607.829594	-95.837652
607.952856	-97.506309
608.076169	-90.738619
608.199531	-86.667593
608.322944	-84.160117
608.446407	-82.542883
608.569920	-81.493595
608.693483	-80.782595
608.817096	-80.210192
608.940759	-79.673376
609.064473	-79.145283
609.188237	-78.674200
609.312051	-78.321758
609.435916	-78.156918
609.559831	-78.202220
609.683796	-78.467013
609.807812	-78.934380
609.931878	-79.562856
