# 2022-03-22_12.59.31
# shape = sech2
# FWHM_ps = 0.11
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.15311111111111111
# untap_len = 0.01
# taper_len = 0.09311111111111112
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.3526315789473685
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-145.566717
600.163550	-145.844639
600.283723	-145.881574
600.403943	-145.733850
600.524212	-145.551531
600.644529	-145.432244
600.764895	-145.338609
600.885308	-145.101071
601.005770	-144.532509
601.126280	-143.612232
601.246839	-142.513000
601.367446	-141.441153
601.488101	-140.523075
601.608804	-139.800770
601.729557	-139.262993
601.850357	-138.873285
601.971206	-138.591873
602.092104	-138.393168
602.213050	-138.275780
602.334045	-138.261750
602.455089	-138.386222
602.576181	-138.683463
602.697322	-139.173701
602.818511	-139.850177
602.939749	-140.663475
603.061036	-141.506459
603.182372	-142.221008
603.303757	-142.658599
603.425191	-142.768691
603.546673	-142.607341
603.668204	-142.251775
603.789785	-141.736689
603.911414	-141.069279
604.033092	-140.278800
604.154820	-139.437279
604.276596	-138.637136
604.398422	-137.958584
604.520297	-137.453747
604.642220	-137.146633
604.764193	-137.038657
604.886216	-137.114001
605.008287	-137.343759
605.130408	-137.689810
605.252578	-138.108299
605.374798	-138.550838
605.497066	-138.958893
605.619385	-139.250648
605.741752	-139.315354
605.864169	-139.045573
605.986636	-138.408864
606.109152	-137.485493
606.231718	-136.418135
606.354333	-135.335574
606.476998	-134.318762
606.599712	-133.405205
606.722476	-132.604590
606.845290	-131.912151
606.968154	-131.317410
607.091067	-130.809181
607.214030	-130.377965
607.337043	-130.016706
607.460106	-129.720668
607.583219	-129.487058
607.706381	-129.314914
607.829594	-129.204963
607.952856	-129.159290
608.076169	-129.180789
608.199531	-129.272250
608.322944	-129.435576
608.446407	-129.672034
608.569920	-129.983862
608.693483	-130.377365
608.817096	-130.866632
608.940759	-131.476234
609.064473	-132.241362
609.188237	-133.203903
609.312051	-134.401110
609.435916	-135.836169
609.559831	-137.404704
609.683796	-138.764620
609.807812	-139.368908
609.931878	-139.046331
610.055995	-138.270389
610.180162	-137.534268
610.304380	-137.042494
610.428648	-136.802348
610.552967	-136.718982
610.677337	-136.651238
610.801757	-136.480481
610.926228	-136.186286
611.050750	-135.858524
611.175323	-135.634634
611.299946	-135.637359
611.424620	-135.956713
611.549345	-136.662513
611.674121	-137.830351
611.798948	-139.586430
611.923826	-142.218876
612.048755	-146.590431
612.173734	-157.592123
612.298765	-152.054288
612.423847	-143.493670
612.548980	-138.900013
612.674165	-135.695291
612.799400	-133.255452
612.924687	-131.334106
613.050025	-129.803985
613.175414	-128.583930
613.300854	-127.613202
613.426346	-126.841920
613.551889	-126.228178
613.677484	-125.738062
613.803130	-125.346527
613.928827	-125.037573
614.054576	-124.802922
614.180377	-124.639352
614.306229	-124.545916
614.432132	-124.522455
614.558087	-124.569655
614.684094	-124.690276
614.810153	-124.890689
614.936263	-125.181876
615.062425	-125.579124
615.188639	-126.100807
615.314904	-126.767178
615.441222	-127.600015
615.567591	-128.623866
615.694012	-129.869323
615.820486	-131.377565
615.947011	-133.200976
616.073588	-135.373894
616.200217	-137.739442
616.326898	-139.385415
616.453632	-138.879137
616.580417	-136.888051
616.707255	-134.822132
616.834144	-133.117640
616.961086	-131.786662
617.088081	-130.760062
617.215127	-129.966225
617.342226	-129.346721
617.469378	-128.860839
617.596581	-128.487397
617.723837	-128.222992
617.851146	-128.075960
617.978507	-128.057722
618.105920	-128.173645
618.233386	-128.414209
618.360905	-128.747229
618.488476	-129.113188
618.616100	-129.429539
618.743777	-129.612111
618.871506	-129.610428
618.999288	-129.431267
619.127123	-129.127662
619.255011	-128.766458
619.382951	-128.403563
619.510945	-128.077529
619.638991	-127.814178
619.767090	-127.633323
619.895243	-127.553068
620.023448	-127.591176
620.151706	-127.764300
620.280017	-128.086296
620.408382	-128.566247
620.536799	-129.205767
620.665270	-129.995206
620.793794	-130.908600
620.922371	-131.898870
621.051002	-132.897944
621.179686	-133.829399
621.308423	-134.635876
621.437213	-135.304572
621.566057	-135.864889
621.694954	-136.356116
621.823905	-136.789988
621.952909	-137.128015
622.081967	-137.280891
622.211079	-137.136180
622.340244	-136.617661
622.469462	-135.742313
622.598735	-134.617213
622.728061	-133.380127
622.857441	-132.143926
622.986874	-130.977077
623.116361	-129.908680
623.245903	-128.941403
623.375498	-128.064586
623.505147	-127.265361
623.634850	-126.536409
623.764606	-125.879070
623.894417	-125.301771
624.024282	-124.815787
624.154201	-124.430930
624.284174	-124.152797
624.414202	-123.982287
624.544283	-123.916889
624.674419	-123.952808
624.804609	-124.086994
624.934853	-124.318435
625.065151	-124.648187
625.195504	-125.078348
625.325911	-125.610598
625.456373	-126.245147
625.586889	-126.980612
625.717460	-127.814722
625.848085	-128.745073
625.978764	-129.768633
