# 2022-03-21_22.32.48
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.11177777777777778
# untap_len = 0.01
# taper_len = 0.05177777777777778
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.38421052631578956
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-143.329365
600.163550	-142.548967
600.283723	-142.061595
600.403943	-141.857098
600.524212	-141.922215
600.644529	-142.233218
600.764895	-142.742236
600.885308	-143.356025
601.005770	-143.919565
601.126280	-144.245468
601.246839	-144.221522
601.367446	-143.904151
601.488101	-143.465887
601.608804	-143.072994
601.729557	-142.827293
601.850357	-142.770461
601.971206	-142.903418
602.092104	-143.201439
602.213050	-143.626009
602.334045	-144.139414
602.455089	-144.724788
602.576181	-145.406460
602.697322	-146.262282
602.818511	-147.430058
602.939749	-149.131236
603.061036	-151.773630
603.182372	-156.402553
603.303757	-168.028889
603.425191	-159.872298
603.546673	-152.873251
603.668204	-149.157939
603.789785	-146.786061
603.911414	-145.191392
604.033092	-144.127312
604.154820	-143.459006
604.276596	-143.099625
604.398422	-142.986299
604.520297	-143.071490
604.642220	-143.322153
604.764193	-143.723159
604.886216	-144.281815
605.008287	-145.030161
605.130408	-146.021776
605.252578	-147.315140
605.374798	-148.907476
605.497066	-150.494961
605.619385	-151.065530
605.741752	-149.821639
605.864169	-147.689135
605.986636	-145.655557
606.109152	-144.018074
606.231718	-142.803265
606.354333	-141.983587
606.476998	-141.531828
606.599712	-141.430745
606.722476	-141.671292
606.845290	-142.244628
606.968154	-143.121642
607.091067	-144.202200
607.214030	-145.218139
607.337043	-145.696503
607.460106	-145.309478
607.583219	-144.297992
607.706381	-143.139406
607.829594	-142.128472
607.952856	-141.373800
608.076169	-140.898268
608.199531	-140.696297
608.322944	-140.757187
608.446407	-141.074646
608.569920	-141.652230
608.693483	-142.509001
608.817096	-143.688386
608.940759	-145.275263
609.064473	-147.434426
609.188237	-150.513968
609.312051	-155.382818
609.435916	-163.155268
609.559831	-157.786543
609.683796	-152.177612
609.807812	-148.887658
609.931878	-146.723124
610.055995	-145.223266
610.180162	-144.168400
610.304380	-143.430560
610.428648	-142.921137
610.552967	-142.569636
610.677337	-142.315341
610.801757	-142.105882
610.926228	-141.899959
611.050750	-141.671686
611.175323	-141.413679
611.299946	-141.136671
611.424620	-140.865419
611.549345	-140.632627
611.674121	-140.473272
611.798948	-140.420770
611.923826	-140.505267
612.048755	-140.753560
612.173734	-141.190108
612.298765	-141.838808
612.423847	-142.725661
612.548980	-143.883227
612.674165	-145.359100
612.799400	-147.233482
612.924687	-149.657388
613.050025	-152.933624
613.175414	-157.540426
613.300854	-160.855222
613.426346	-156.508417
613.551889	-152.298898
613.677484	-149.413781
613.803130	-147.405500
613.928827	-146.032074
614.054576	-145.180931
614.180377	-144.804753
614.306229	-144.895202
614.432132	-145.475570
614.558087	-146.606100
614.684094	-148.405305
614.810153	-151.104955
614.936263	-155.186079
615.062425	-161.300560
615.188639	-162.488585
615.314904	-157.894202
615.441222	-155.347357
615.567591	-154.299181
615.694012	-154.244758
615.820486	-154.874769
615.947011	-155.830323
616.073588	-156.532334
616.200217	-156.375167
616.326898	-155.262132
616.453632	-153.465180
616.580417	-151.214274
616.707255	-148.733469
616.834144	-146.263006
616.961086	-143.976365
617.088081	-141.957585
617.215127	-140.230505
617.342226	-138.789248
617.469378	-137.616220
617.596581	-136.690879
617.723837	-135.993698
617.851146	-135.507948
617.978507	-135.220555
618.105920	-135.122608
618.233386	-135.209848
618.360905	-135.483431
618.488476	-135.951306
618.616100	-136.630654
618.743777	-137.551943
