# 2022-03-22_09.11.10
# shape = sech2
# FWHM_ps = 0.11
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.10488888888888889
# untap_len = 0.01
# taper_len = 0.04488888888888889
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.38421052631578956
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-144.036632
600.163550	-143.491594
600.283723	-143.152032
600.403943	-143.005559
600.524212	-143.051985
600.644529	-143.300379
600.764895	-143.769366
600.885308	-144.489158
601.005770	-145.506266
601.126280	-146.892797
601.246839	-148.763699
601.367446	-151.301338
601.488101	-154.701160
601.608804	-158.030385
601.729557	-156.873326
601.850357	-153.315113
601.971206	-150.444708
602.092104	-148.338519
602.213050	-146.771703
602.334045	-145.586687
602.455089	-144.683286
602.576181	-143.996531
602.697322	-143.483790
602.818511	-143.117933
602.939749	-142.883582
603.061036	-142.774880
603.182372	-142.794022
603.303757	-142.950324
603.425191	-143.259852
603.546673	-143.745884
603.668204	-144.440747
603.789785	-145.390022
603.911414	-146.661216
604.033092	-148.361348
604.154820	-150.672878
604.276596	-153.912076
604.398422	-158.275347
604.520297	-159.709756
604.642220	-155.476177
604.764193	-151.800556
604.886216	-149.198173
605.008287	-147.305625
605.130408	-145.897040
605.252578	-144.843361
605.374798	-144.066588
605.497066	-143.517003
605.619385	-143.162200
605.741752	-142.981843
605.864169	-142.965259
605.986636	-143.110493
606.109152	-143.424266
606.231718	-143.922782
606.354333	-144.633920
606.476998	-145.602015
606.599712	-146.897662
606.722476	-148.637559
606.845290	-151.021947
606.968154	-154.355888
607.091067	-158.207213
607.214030	-157.242191
607.337043	-152.880156
607.460106	-149.375299
607.583219	-146.741000
607.706381	-144.685294
607.829594	-143.029256
607.952856	-141.668789
608.076169	-140.541376
608.199531	-139.608534
608.322944	-138.846429
608.446407	-138.240475
608.569920	-137.781986
608.693483	-137.466029
608.817096	-137.290055
608.940759	-137.253141
609.064473	-137.355714
609.188237	-137.599708
609.312051	-137.989085
609.435916	-138.530769
609.559831	-139.236048
609.683796	-140.122759
609.807812	-141.218844
609.931878	-142.568716
610.055995	-144.245796
610.180162	-146.380310
610.304380	-149.232016
610.428648	-153.438618
610.552967	-161.460964
610.677337	-166.888811
610.801757	-155.897354
610.926228	-151.371052
611.050750	-148.599322
611.175323	-146.664130
611.299946	-145.226452
611.424620	-144.126966
611.549345	-143.283925
611.674121	-142.657141
611.798948	-142.232178
611.923826	-142.012087
612.048755	-142.012668
612.173734	-142.259822
612.298765	-142.788030
612.423847	-143.637618
612.548980	-144.842494
612.674165	-146.377893
612.799400	-147.979141
612.924687	-148.830613
613.050025	-148.132662
613.175414	-146.452028
613.300854	-144.714595
613.426346	-143.281443
613.551889	-142.202091
613.677484	-141.437307
613.803130	-140.927075
613.928827	-140.606076
614.054576	-140.408515
614.180377	-140.275397
614.306229	-140.166558
614.432132	-140.072307
614.558087	-140.016592
614.684094	-140.049435
614.810153	-140.235072
614.936263	-140.644248
615.062425	-141.354716
615.188639	-142.460200
615.314904	-144.086501
615.441222	-146.398652
615.567591	-149.421774
615.694012	-151.551376
615.820486	-149.588455
615.947011	-146.299234
616.073588	-143.652723
616.200217	-141.681933
616.326898	-140.214105
616.453632	-139.116590
616.580417	-138.297388
616.707255	-137.690679
616.834144	-137.247430
616.961086	-136.930336
617.088081	-136.711301
617.215127	-136.570236
617.342226	-136.494404
617.469378	-136.477889
617.596581	-136.520951
617.723837	-136.629194
617.851146	-136.812536
617.978507	-137.083971
618.105920	-137.458070
618.233386	-137.949061
618.360905	-138.568205
618.488476	-139.319925
618.616100	-140.195960
618.743777	-141.166998
618.871506	-142.173266
618.999288	-143.121800
619.127123	-143.906190
619.255011	-144.456226
619.382951	-144.784363
619.510945	-144.978311
619.638991	-145.148194
619.767090	-145.380907
619.895243	-145.721986
620.023448	-146.169183
620.151706	-146.658710
620.280017	-147.041779
620.408382	-147.091146
620.536799	-146.616704
620.665270	-145.636131
620.793794	-144.361019
620.922371	-143.021727
621.051002	-141.768228
621.179686	-140.675411
621.308423	-139.773883
621.437213	-139.071535
621.566057	-138.564201
621.694954	-138.239998
621.823905	-138.080684
621.952909	-138.061777
622.081967	-138.152421
622.211079	-138.315758
622.340244	-138.510665
622.469462	-138.695783
622.598735	-138.836171
622.728061	-138.911511
622.857441	-138.923008
622.986874	-138.895885
623.116361	-138.876552
623.245903	-138.926725
623.375498	-139.118261
623.505147	-139.531817
623.634850	-140.261027
623.764606	-141.422131
623.894417	-143.158970
624.024282	-145.547410
624.154201	-147.763298
624.284174	-146.848721
624.414202	-143.580682
624.544283	-140.566608
624.674419	-138.224220
624.804609	-136.443320
624.934853	-135.103657
625.065151	-134.121425
625.195504	-133.441178
625.325911	-133.027035
625.456373	-132.857592
625.586889	-132.923708
625.717460	-133.228362
625.848085	-133.788388
625.978764	-134.638762
626.109498	-135.841785
626.240287	-137.507654
626.371131	-139.846377
626.502029	-143.326929
626.632982	-149.352953
626.763989	-158.499284
626.895052	-148.180948
627.026169	-143.045214
627.157341	-140.020508
627.288568	-137.974282
627.419850	-136.489381
