# 2022-03-22_11.17.58
# shape = sech2
# FWHM_ps = 0.11
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.13244444444444445
# untap_len = 0.01
# taper_len = 0.07244444444444445
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.38421052631578956
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-144.125357
600.163550	-144.268769
600.283723	-144.368426
600.403943	-144.354907
600.524212	-144.203744
600.644529	-143.944802
600.764895	-143.643802
600.885308	-143.371894
601.005770	-143.185225
601.126280	-143.118951
601.246839	-143.188791
601.367446	-143.393303
601.488101	-143.713453
601.608804	-144.108883
601.729557	-144.513795
601.850357	-144.841181
601.971206	-145.007692
602.092104	-144.977069
602.213050	-144.789040
602.334045	-144.543043
602.455089	-144.355462
602.576181	-144.329252
602.697322	-144.547447
602.818511	-145.080317
602.939749	-145.995496
603.061036	-147.363093
603.182372	-149.235117
603.303757	-151.505404
603.425191	-153.399027
603.546673	-153.414798
603.668204	-151.897268
603.789785	-150.343607
603.911414	-149.315220
604.033092	-148.884315
604.154820	-149.035503
604.276596	-149.763081
604.398422	-151.085248
604.520297	-153.023273
604.642220	-155.477863
604.764193	-157.756550
604.886216	-158.302946
605.008287	-157.132223
605.130408	-155.716392
605.252578	-154.596481
605.374798	-153.701796
605.497066	-152.843384
605.619385	-151.908509
605.741752	-150.918917
605.864169	-149.974614
605.986636	-149.168906
606.109152	-148.548696
606.231718	-148.114149
606.354333	-147.831349
606.476998	-147.647880
606.599712	-147.511338
606.722476	-147.387954
606.845290	-147.271485
606.968154	-147.174351
607.091067	-147.105289
607.214030	-147.047199
607.337043	-146.949654
607.460106	-146.747911
607.583219	-146.406541
607.706381	-145.955809
607.829594	-145.484561
607.952856	-145.100272
608.076169	-144.896019
608.199531	-144.940767
608.322944	-145.284461
608.446407	-145.967172
608.569920	-147.027613
608.693483	-148.510459
608.817096	-150.472902
608.940759	-152.988523
609.064473	-156.129488
609.188237	-159.806010
609.312051	-162.982459
609.435916	-163.443143
609.559831	-161.983038
609.683796	-160.424828
609.807812	-159.161805
