# 2022-03-22_01.07.28
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.14622222222222223
# untap_len = 0.01
# taper_len = 0.08622222222222223
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.27368421052631586
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-79.909753
600.163550	-79.824490
600.283723	-79.749428
600.403943	-79.684246
600.524212	-79.629585
600.644529	-79.585123
600.764895	-79.549512
600.885308	-79.520765
601.005770	-79.496465
601.126280	-79.474156
601.246839	-79.451592
601.367446	-79.427121
601.488101	-79.399872
601.608804	-79.369695
601.729557	-79.337365
601.850357	-79.304386
601.971206	-79.272691
602.092104	-79.244593
602.213050	-79.222253
602.334045	-79.207467
602.455089	-79.201544
602.576181	-79.204982
602.697322	-79.217677
602.818511	-79.238764
602.939749	-79.266859
603.061036	-79.300174
603.182372	-79.336622
603.303757	-79.374304
603.425191	-79.411821
603.546673	-79.448141
603.668204	-79.483078
603.789785	-79.517259
603.911414	-79.552066
604.033092	-79.589549
604.154820	-79.632028
604.276596	-79.681859
604.398422	-79.741073
604.520297	-79.811296
604.642220	-79.893457
604.764193	-79.987708
604.886216	-80.093297
605.008287	-80.208715
605.130408	-80.331981
605.252578	-80.460902
605.374798	-80.593235
605.497066	-80.727192
605.619385	-80.861204
605.741752	-80.994561
605.864169	-81.127523
605.986636	-81.261256
606.109152	-81.398106
606.231718	-81.540880
606.354333	-81.692891
606.476998	-81.857165
606.599712	-82.036416
606.722476	-82.232650
606.845290	-82.447213
606.968154	-82.680466
607.091067	-82.931731
607.214030	-83.199076
607.337043	-83.479507
607.460106	-83.769663
607.583219	-84.066386
607.706381	-84.366793
607.829594	-84.668674
607.952856	-84.970699
608.076169	-85.272714
608.199531	-85.576249
608.322944	-85.884471
608.446407	-86.201711
608.569920	-86.532551
608.693483	-86.881421
608.817096	-87.252100
608.940759	-87.647165
609.064473	-88.067705
609.188237	-88.513284
609.312051	-88.980146
609.435916	-89.461678
609.559831	-89.949105
609.683796	-90.430289
609.807812	-90.891453
609.931878	-91.316977
610.055995	-91.688486
610.180162	-91.987225
610.304380	-92.196450
610.428648	-92.303398
610.552967	-92.301909
610.677337	-92.193135
610.801757	-91.985029
610.926228	-91.690321
611.050750	-91.326049
611.175323	-90.910951
611.299946	-90.463583
611.424620	-89.999591
611.549345	-89.530697
611.674121	-89.065360
611.798948	-88.609232
611.923826	-88.165654
612.048755	-87.734965
612.173734	-87.315792
612.298765	-86.905684
612.423847	-86.502172
612.548980	-86.103327
612.674165	-85.707595
612.799400	-85.313759
612.924687	-84.921511
613.050025	-84.531521
613.175414	-84.145306
613.300854	-83.764828
613.426346	-83.391971
613.551889	-83.028613
613.677484	-82.677073
613.803130	-82.339188
613.928827	-82.016186
614.054576	-81.708553
614.180377	-81.416220
614.306229	-81.138778
614.432132	-80.875604
614.558087	-80.625683
614.684094	-80.387299
614.810153	-80.158723
614.936263	-79.938661
615.062425	-79.726075
615.188639	-79.520200
615.314904	-79.320513
615.441222	-79.126553
615.567591	-78.938109
615.694012	-78.755323
615.820486	-78.578484
615.947011	-78.408066
616.073588	-78.244748
616.200217	-78.089340
616.326898	-77.942500
616.453632	-77.804596
616.580417	-77.675790
616.707255	-77.556218
616.834144	-77.445969
616.961086	-77.345002
617.088081	-77.252964
617.215127	-77.169329
617.342226	-77.093560
617.469378	-77.025261
617.596581	-76.963938
617.723837	-76.908922
617.851146	-76.859473
617.978507	-76.814882
618.105920	-76.774330
618.233386	-76.737261
618.360905	-76.703376
618.488476	-76.672617
618.616100	-76.645247
618.743777	-76.621566
618.871506	-76.602010
618.999288	-76.587210
619.127123	-76.578042
619.255011	-76.575280
619.382951	-76.579538
619.510945	-76.591066
619.638991	-76.609926
619.767090	-76.636194
619.895243	-76.669826
620.023448	-76.710680
620.151706	-76.758055
620.280017	-76.811187
620.408382	-76.869106
620.536799	-76.930834
620.665270	-76.995277
620.793794	-77.061447
620.922371	-77.128798
621.051002	-77.197220
621.179686	-77.266916
621.308423	-77.338436
621.437213	-77.412877
621.566057	-77.491541
621.694954	-77.575625
621.823905	-77.666241
621.952909	-77.764389
622.081967	-77.871032
622.211079	-77.987272
622.340244	-78.113890
622.469462	-78.251387
622.598735	-78.400172
622.728061	-78.560535
622.857441	-78.732568
622.986874	-78.916009
623.116361	-79.110187
623.245903	-79.314587
623.375498	-79.529044
623.505147	-79.753269
623.634850	-79.987112
623.764606	-80.230585
623.894417	-80.484396
624.024282	-80.749452
624.154201	-81.026742
624.284174	-81.317136
624.414202	-81.621429
624.544283	-81.940960
624.674419	-82.277632
624.804609	-82.632864
624.934853	-83.006823
625.065151	-83.398530
625.195504	-83.806727
625.325911	-84.229816
625.456373	-84.665608
625.586889	-85.109700
625.717460	-85.554769
625.848085	-85.990706
625.978764	-86.404857
626.109498	-86.782014
626.240287	-87.104532
626.371131	-87.353538
626.502029	-87.511262
626.632982	-87.564915
626.763989	-87.509724
626.895052	-87.349493
627.026169	-87.094845
627.157341	-86.761090
627.288568	-86.365352
627.419850	-85.925468
627.551187	-85.457520
627.682579	-84.974779
627.814026	-84.487487
627.945528	-84.002656
628.077085	-83.524885
628.208697	-83.057680
628.340364	-82.603603
628.472087	-82.164261
628.603865	-81.740475
628.735698	-81.332589
628.867586	-80.940541
628.999530	-80.564581
629.131529	-80.204962
629.263584	-79.861846
629.395694	-79.535186
629.527859	-79.224873
629.660080	-78.931038
629.792357	-78.653798
629.924689	-78.392871
630.057077	-78.147602
630.189520	-77.917123
630.322019	-77.700462
630.454574	-77.496596
630.587184	-77.304335
630.719851	-77.122192
630.852573	-76.948320
630.985351	-76.781351
631.118185	-76.620495
631.251075	-76.465405
631.384021	-76.315663
631.517023	-76.170800
631.650081	-76.030563
631.783195	-75.895054
631.916365	-75.764930
632.049592	-75.640886
632.182874	-75.523448
632.316213	-75.413382
632.449608	-75.311755
632.583059	-75.219615
632.716567	-75.137740
632.850131	-75.066223
632.983751	-75.004732
633.117428	-74.953077
633.251161	-74.911023
633.384951	-74.878128
633.518797	-74.853380
633.652700	-74.835409
633.786660	-74.823047
633.920676	-74.815332
634.054749	-74.811458
634.188879	-74.810645
634.323065	-74.812291
634.457308	-74.816165
634.591608	-74.822244
634.725965	-74.830673
634.860379	-74.841524
634.994850	-74.854970
635.129377	-74.871355
