# 2022-03-21_23.55.58
# shape = sech2
# FWHM_ps = 0.1
# carrier_nm = 1542
# frep_MHz = 12126
# pow_mW = 8000
# GDD = 0.0
# propa_len = 0.13244444444444445
# untap_len = 0.01
# taper_len = 0.07244444444444445
# waist_len = 0.02
# uptap_len = 0.02
# untap_scale = 1.0
# waist_scale = 0.24210526315789477
# workingDir = NL_20110305_12 (Spirou)
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 21700
# 
# wavelength [nm]	 power spectral density [dB]
600.043425	-87.037643
600.163550	-87.261155
600.283723	-87.481037
600.403943	-87.640730
600.524212	-87.698971
600.644529	-87.641785
600.764895	-87.484222
600.885308	-87.262435
601.005770	-87.021518
601.126280	-86.803694
601.246839	-86.638854
601.367446	-86.542914
601.488101	-86.519961
601.608804	-86.554368
601.729557	-86.614811
601.850357	-86.661913
601.971206	-86.661692
602.092104	-86.592475
602.213050	-86.438443
602.334045	-86.195785
602.455089	-85.886115
602.576181	-85.543958
602.697322	-85.206368
602.818511	-84.905093
602.939749	-84.658174
603.061036	-84.479262
603.182372	-84.379280
603.303757	-84.360931
603.425191	-84.421669
603.546673	-84.551296
603.668204	-84.727866
603.789785	-84.924016
603.911414	-85.098117
604.033092	-85.202037
604.154820	-85.203142
604.276596	-85.093341
604.398422	-84.890366
604.520297	-84.628541
604.642220	-84.339423
604.764193	-84.058173
604.886216	-83.819320
605.008287	-83.645030
605.130408	-83.546347
605.252578	-83.522367
605.374798	-83.562480
605.497066	-83.655781
605.619385	-83.785544
605.741752	-83.931150
605.864169	-84.072859
605.986636	-84.183996
606.109152	-84.240748
606.231718	-84.233073
606.354333	-84.159282
606.476998	-84.030060
606.599712	-83.870152
606.722476	-83.703051
606.845290	-83.552502
606.968154	-83.438508
607.091067	-83.370392
607.214030	-83.353804
607.337043	-83.382678
607.460106	-83.437499
607.583219	-83.495357
607.706381	-83.532968
607.829594	-83.529638
607.952856	-83.479844
608.076169	-83.389258
608.199531	-83.267422
608.322944	-83.130069
608.446407	-82.995720
608.569920	-82.886143
608.693483	-82.820270
608.817096	-82.807567
608.940759	-82.849508
609.064473	-82.947994
609.188237	-83.102852
609.312051	-83.302423
609.435916	-83.525014
609.559831	-83.739579
609.683796	-83.909977
609.807812	-84.005635
609.931878	-84.004778
610.055995	-83.904660
610.180162	-83.722948
610.304380	-83.483801
610.428648	-83.220153
610.552967	-82.968147
610.677337	-82.751395
610.801757	-82.589156
610.926228	-82.494822
611.050750	-82.468533
611.175323	-82.505830
611.299946	-82.593002
611.424620	-82.717565
611.549345	-82.870742
611.674121	-83.034950
611.798948	-83.187178
611.923826	-83.305816
612.048755	-83.369781
612.173734	-83.370782
612.298765	-83.308036
612.423847	-83.193668
612.548980	-83.042121
612.674165	-82.871508
612.799400	-82.708691
612.924687	-82.579573
613.050025	-82.496998
613.175414	-82.466607
613.300854	-82.482858
613.426346	-82.539528
613.551889	-82.624799
613.677484	-82.720762
613.803130	-82.808287
613.928827	-82.868438
614.054576	-82.883409
614.180377	-82.850025
614.306229	-82.771287
614.432132	-82.657273
614.558087	-82.524116
614.684094	-82.389548
614.810153	-82.270707
614.936263	-82.179957
615.062425	-82.121586
615.188639	-82.095019
615.314904	-82.099679
615.441222	-82.130543
615.567591	-82.174454
