; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.28515625e-12, 2.003090344, -1.753962205
-2.279296875e-12, 2.278169581, -1.486794189
-2.2734375e-12, 2.517625939, -1.178343423
-2.267578125e-12, 2.715458136, -0.8334005626
-2.26171875e-12, 2.866324295, -0.4576039921
-2.255859375e-12, 2.965658918, -0.05734840372
-2.25e-12, 3.009775669, 0.3603220162
-2.244140625e-12, 2.995954395, 0.7878339902
-2.23828125e-12, 2.922511243, 1.217217231
-2.232421875e-12, 2.788851053, 1.640246166
-2.2265625e-12, 2.595501355, 2.04858907
-2.220703125e-12, 2.344127267, 2.433962073
-2.21484375e-12, 2.037526589, 2.788285269
-2.208984375e-12, 1.67960443, 3.103837839
-2.203125e-12, 1.275326949, 3.373409033
-2.197265625e-12, 0.8306542347, 3.590441872
-2.19140625e-12, 0.3524529548, 3.749166623
-2.185546875e-12, -0.1516098308, 3.844721495
-2.1796875e-12, -0.673189695, 3.873258396
-2.173828125e-12, -1.203402121, 3.832032041
-2.16796875e-12, -1.732971194, 3.719471076
-2.162109375e-12, -2.25238678, 3.535230157
-2.15625e-12, -2.752067362, 3.280222111
-2.150390625e-12, -3.222525883, 2.956629389
-2.14453125e-12, -3.654536076, 2.567894155
-2.138671875e-12, -4.039296867, 2.118686454
-2.1328125e-12, -4.368592376, 1.614850253
-2.126953125e-12, -4.634944992, 1.063327552
-2.12109375e-12, -4.83175886, 0.4720614121
-2.115234375e-12, -4.953451099, -0.1501205775
-2.109375e-12, -4.995568121, -0.7936401981
-2.103515625e-12, -4.954884566, -1.448317151
-2.09765625e-12, -4.829482746, -2.103529275
-2.091796875e-12, -4.61881088, -2.748381419
-2.0859375e-12, -4.32371892, -3.371880144
-2.080078125e-12, -3.94647127, -3.963111695
-2.07421875e-12, -3.490736172, -4.5114209
-2.068359375e-12, -2.961551915, -5.006588759
-2.0625e-12, -2.365270368, -5.439006355
-2.056640625e-12, -1.709478579, -5.7998425
-2.05078125e-12, -1.002899477, -6.081202218
-2.044921875e-12, -0.2552729756, -6.276272992
-2.0390625e-12, 0.5227808928, -6.379455625
-2.033203125e-12, 1.319914832, -6.386476859
-2.02734375e-12, 2.124220818, -6.29448133
-2.021484375e-12, 2.923407715, -6.102101056
-2.015625e-12, 3.70498722, -5.809501384
