Trace
Log Plot
A.29.04,N9000B
1819.70085860998,-38.9190887664672
1847.84979742229,-41.0975171910688
1876.43417195609,-39.8799841870562
1905.46071796325,-37.7737950026121
1934.93627539095,-38.7099909247189
1964.86778999347,-32.7353532999957
1995.26231496888,-31.2387973653028
2026.12701262114,-36.6481672268288
2057.46915604784,-35.9069986126374
2089.29613085404,-37.8983679262002
2121.61543689268,-40.1473788703819
2154.43469003188,-33.8654083647397
2187.76162394955,-36.1048645748698
2221.60409195581,-36.3727145426752
2255.97006884358,-36.7980494937842
2290.86765276777,-33.2639891815426
2326.30506715363,-34.5826668649006
2362.29066263446,-36.2326596380341
2398.83291901949,-39.1884515909542
2435.94044729203,-39.4640865098912
2473.62199163862,-40.0892602809813
2511.88643150958,-36.7824903677831
2550.74278371136,-36.3359586889532
2590.20020453132,-33.344579903889
2630.26799189538,-34.1680651134383
2670.95558755899,-39.45799766038
2712.27257933203,-39.1483905690628
2754.22870333817,-39.9587717374745
2796.83384630908,-37.5646740475379
2840.09804791422,-35.9988364746932
2884.03150312661,-38.1085909857438
2928.64456462524,-40.6916514918171
2973.94774523461,-41.9595890481463
3019.95172040202,-36.782604402465
3066.66733071318,-39.6476042950988
3114.10558444676,-37.9845278559062
3162.27766016838,-41.2522092841226
3211.19490936482,-41.8135773997408
3260.86885911893,-40.4130768317106
3311.31121482591,-37.133375860152
3362.53386295163,-39.148060705447
3414.5488738336,-36.6574225738367
3467.36850452532,-39.1813125340836
3521.00520168452,-43.1534414494013
3575.47160450621,-39.9307678399694
3630.78054770101,-39.7672331319659
3686.94506451958,-42.415193056217
3743.97838982381,-36.6036578731932
3801.89396320561,-37.4670720172729
3860.70543215381,-38.4919589370802
3920.42665527015,-40.9617483591089
3981.07170553497,-41.3666009958205
4042.65487362344,-53.3457616254812
4105.19067127308,-42.4241627921385
4168.69383470336,-40.8955528629003
4233.17932808821,-44.5435097292727
4298.66234708228,-44.5831394606122
4365.15832240166,-45.4233186435555
4432.68292346009,-44.1839141238066
4501.25206206134,-41.0612751578071
4570.88189614875,-41.8102823167226
4641.58883361278,-42.0191062934989
4713.38953615741,-40.7602006324307
4786.30092322638,-43.9324346269466
4860.34017599022,-44.4458901908224
4935.52474139481,-41.9656301983864
5011.87233627272,-46.3242362536738
5089.40095151809,-45.3808903955181
5168.12885632604,-43.6169778208029
5248.07460249773,-43.8244296064374
5329.257028812,-46.6573130300001
5411.69526546464,-46.4575926192151
5495.40873857625,-41.5912775620465
5580.41717476996,-48.1481631663959
5666.74060581991,-43.5798106512096
5754.39937337157,-46.2945185795333
5843.41413373518,-43.6527872201655
5933.80586275328,-46.0143441627835
6025.59586074358,-46.2856421017805
6118.80575751822,-42.6181966629557
6213.45751748076,-42.0976370763863
6309.57344480193,-45.4386029681577
6407.17618867554,-46.2191035062803
6506.28874865557,-45.8822509008619
6606.93448007596,-49.0492040331771
6709.13709955411,-49.3884135047514
6812.92069057961,-47.8833112269743
6918.30970918937,-49.6368351502294
7025.32898973052,-48.5270900530723
7134.00375071256,-47.9512189184729
7244.3596007499,-46.8808913114927
7356.42254459641,-48.0378096859479
7470.21898927332,-49.0736554836012
7585.77575029184,-50.6710908409004
7703.12005797215,-51.9380092987674
7822.27956386003,-51.0229010234738
7943.28234724281,-49.902193308349
8066.15692176614,-48.1974881247976
8190.93224215297,-52.0102620152613
8317.63771102671,-51.1128349090459
8446.30318583969,-48.6178664985126
8576.95898590894,-49.2502084665749
8709.63589956081,-50.7216149776911
8844.365191386,-49.0199775550414
8981.17860960694,-51.516732289575
9120.1083935591,-51.9592022859782
9261.18728128793,-53.8292162108549
9404.44851726352,-54.1576627119701
9549.92586021436,-55.5732380766954
9697.65359108249,-51.1215049898718
9847.66652110158,-52.3781254792584
10000,-50.3945170769007
10154.6899243308,-51.5824907143739
10311.7727459305,-49.9109453222485
10471.285480509,-53.5439973646437
10633.2657163716,-55.267178567618
10797.7516232771,-53.349487043599
10964.7819614319,-53.8945586327875
11134.3960906236,-54.8876541900438
