Trace
Log Plot
A.29.04,N9000B
912.01083935591,-31.5445037619893
926.118728128793,-31.852132993697
940.444851726352,-32.1645718180227
954.992586021436,-32.4054208256057
969.765359108249,-32.7700021865492
984.766652110158,-32.8462334922496
1000,-32.9686528515966
1015.46899243308,-33.3720012369342
1031.17727459306,-33.7080954440483
1047.1285480509,-33.7910552734534
1063.32657163716,-33.9827281510517
1079.77516232771,-34.3549719960947
1096.47819614319,-34.5393555301159
1113.43960906236,-34.5843584106677
1130.66339794964,-34.5634028045252
1148.15362149688,-34.5095263015502
1165.91440117983,-34.8659645716398
1183.9499222293,-35.1707011036847
1202.26443461741,-35.4306813356124
1220.86225405907,-35.5952049463692
1239.74776302894,-35.6257332794788
1258.92541179417,-35.6833707211416
1278.39971946302,-35.775554251762
1298.17527504985,-36.0606862128728
1318.25673855641,-36.1104436399781
1338.64884206999,-36.261328465522
1359.35639087853,-36.391536354514
1380.38426460288,-36.5058658955873
1401.73741834677,-36.8011832453945
1423.42088386434,-37.0410998689723
1445.43977074593,-37.2403549220868
1467.79926762207,-37.2358368332462
1490.5046433862,-37.4250113199951
1513.56124843621,-37.6355744299605
1536.97451593527,-37.7016479060233
1560.74996309211,-37.8306955148445
1584.89319246111,-38.1401930598468
1609.40989326254,-38.4189943540187
1634.30584272314,-38.6612510583696
1659.58690743756,-38.3663350868711
1685.25904475075,-38.1474318440034
1711.32830416178,-37.9335260468153
1737.80082874938,-37.8130279289238
1764.6828566195,-37.8263448458519
1791.98072237533,-37.768804241355
1819.70085860998,-37.7987725536206
1847.84979742229,-37.6979055678942
1876.43417195609,-37.5831864081436
1905.46071796325,-37.3520269810406
1934.93627539095,-37.2155302043191
1964.86778999347,-37.2539694059625
1995.26231496888,-37.0067969863355
2026.12701262114,-36.7764992469076
2057.46915604784,-36.4130209028065
2089.29613085404,-36.2258842213365
2121.61543689268,-36.2105732655882
2154.43469003188,-36.0531250637805
2187.76162394955,-36.0440630135839
2221.60409195581,-36.1512317334648
2255.97006884358,-36.0261031274367
2290.86765276777,-35.7537364093128
2326.30506715363,-35.6206571508569
2362.29066263446,-35.7013385499261
2398.83291901949,-35.7510165996129
2435.94044729203,-36.0751482187472
2473.62199163862,-36.2531930913984
2511.88643150958,-36.2853475807347
2550.74278371136,-36.275444970381
2590.20020453132,-36.2290081146539
2630.26799189538,-36.3487848126396
2670.95558755899,-36.6207099863987
2712.27257933203,-36.8399326600418
2754.22870333817,-36.8524766635104
2796.83384630908,-36.7171686033291
2840.09804791422,-36.7748124905216
2884.03150312661,-36.9587661971143
2928.64456462524,-37.0008528532206
2973.94774523461,-37.2836515237555
3019.95172040202,-37.3571207964532
3066.66733071318,-37.2628377178513
3114.10558444676,-36.9706972801495
3162.27766016838,-36.668229521631
3211.19490936482,-36.6746674240228
3260.86885911893,-36.8121611845758
3311.31121482591,-36.8764266086125
3362.53386295163,-37.1012061711433
3414.5488738336,-37.2611812517302
3467.36850452532,-37.0537942230847
3521.00520168452,-37.1030657421455
3575.47160450621,-37.1799185831399
3630.78054770101,-37.2778109222689
3686.94506451958,-37.260744827432
3743.97838982381,-37.35808744601
3801.89396320561,-37.2592823404445
3860.70543215381,-37.1992521997119
3920.42665527015,-37.3660425753067
3981.07170553497,-37.3580879057577
4042.65487362344,-37.5910487885067
4105.19067127308,-37.6177272615
4168.69383470336,-37.7848343763146
4233.17932808821,-37.7220412222832
4298.66234708228,-37.6920181720315
4365.15832240166,-38.0765565937299
4432.68292346009,-38.592771008363
4501.25206206134,-38.982687965941
4570.88189614875,-38.9595088098089
4641.58883361278,-39.1458607658937
4713.38953615741,-39.1905016262082
4786.30092322638,-39.351308970686
4860.34017599022,-39.6928490933836
4935.52474139481,-40.308520873885
5011.87233627272,-40.3802116399648
5089.40095151809,-40.5451975083777
5168.12885632604,-40.7625258952084
5248.07460249773,-40.9916068205835
5329.257028812,-41.0441982735747
5411.69526546464,-41.2440722287044
5495.40873857625,-41.5880016564513
5580.41717476996,-41.7813461578667
5666.74060581991,-42.0345788494837
5754.39937337157,-42.0641306026913
5843.41413373518,-42.3751084354228
5933.80586275328,-42.7289487332874
6025.59586074358,-43.0717693651503
6118.80575751822,-43.4201840116254
6213.45751748076,-43.3611791857909
6309.57344480193,-43.2542708806472
6407.17618867554,-43.2766404792665
6506.28874865557,-43.6191127130701
6606.93448007596,-43.870056340895
6709.13709955411,-44.2011672043367
6812.92069057961,-44.3644777198618
6918.30970918937,-44.3837693439317
7025.32898973052,-44.4124530087111
7134.00375071256,-44.6511724238786
7244.3596007499,-44.8592014667999
7356.42254459641,-45.1073751986487
7470.21898927332,-45.4439352888547
7585.77575029184,-45.6265082610675
7703.12005797215,-45.9026022143084
7822.27956386003,-45.978957296159
7943.28234724281,-46.0866531569314
8066.15692176614,-46.1779142901368
8190.93224215297,-46.3865535773056
8317.63771102671,-46.289232926409
8446.30318583969,-46.3158123599082
8576.95898590894,-46.493037723944
8709.63589956081,-46.4702375541009
8844.365191386,-46.7531984785577
8981.17860960694,-46.9433774205019
9120.1083935591,-47.135928471208
9261.18728128793,-47.2325372874918
9404.44851726352,-47.1600321156059
9549.92586021436,-47.2668916228313
9697.65359108249,-47.3501726962645
9847.66652110158,-47.4315752043508
10000,-47.413206328676
10154.6899243308,-47.9118857353052
10311.7727459305,-48.3471821958791
10471.285480509,-48.6975762948352
10633.2657163716,-48.9958800827234
10797.7516232771,-49.4153645354533
10964.7819614319,-49.6574102762551
11134.3960906236,-50.1763003443226
11306.6339794964,-50.4307654462627
11481.5362149688,-50.9148456383824
11659.1440117983,-51.310050969797
11839.499222293,-51.740645778819
12022.6443461741,-52.0994577403701
12208.6225405907,-52.2375583360569
12397.4776302894,-52.6315289097868
12589.2541179417,-52.80935853996
12783.9971946302,-53.1314675419336
12981.7527504985,-53.4142739622131
13182.5673855641,-54.036846766434
13386.4884206999,-54.7835050628952
13593.5639087853,-55.0694684953414
13803.8426460289,-55.3646995270453
14017.3741834677,-55.7181929028352
14234.2088386434,-56.0245021600067
14454.3977074593,-55.9606289627086
14677.9926762207,-55.9509001933654
14905.046433862,-56.0687156578519
15135.6124843621,-56.2326389465709
15369.7451593527,-56.2437577444102
15607.4996309211,-56.3781039433483
15848.9319246111,-56.4615856278366
16094.0989326253,-56.7962178027784
16343.0584272314,-56.9678855585499
16595.8690743756,-57.0820430254501
16852.5904475075,-57.345349633089
17113.2830416178,-57.2971538622426
17378.0082874938,-57.6457760233658
17646.828566195,-57.9156146606975
17919.8072237533,-58.1119918158247
18197.0085860998,-58.2139450215302
18478.4979742229,-58.484216269967
18764.3417195609,-58.3837727537865
19054.6071796325,-58.3609770722942
19349.3627539095,-58.5719485992191
19648.6778999347,-59.0037672865709
19952.6231496888,-59.4646874808291
20261.2701262114,-59.8220373891132
20574.6915604784,-60.0906496057789
20892.9613085404,-60.2855776318806
21216.1543689268,-60.3552959357321
21544.3469003188,-60.4969293492984
21877.6162394955,-60.7229401563044
22216.0409195581,-60.9202391633511
22559.7006884358,-60.9508032043508
22908.6765276777,-61.0498312744963
23263.0506715363,-61.033015819956
23622.9066263446,-61.1325682549065
23988.3291901949,-60.9996883139217
24359.4044729203,-61.4165360692454
24736.2199163862,-61.6070269185938
25118.8643150958,-61.734247715991
25507.4278371136,-62.1382284310341
25902.0020453133,-62.3041667674061
26302.6799189538,-62.5077594173565
26709.5558755899,-62.6340992072862
27122.7257933203,-62.6143862829419
27542.2870333817,-62.7415703212955
27968.3384630908,-62.7240308886035
28400.9804791421,-62.650674461965
28840.3150312661,-62.592183398564
29286.4456462524,-62.6241140632401
