# 2022-03-02_08.11.22
# shape = sech2
# FWHM_ps = 0.2
# carrier_nm = 1542
# frep_MHz = 100
# pow_mW = 50
# GDD = 0.0
# propa_len = 0.005
# untap_len = 0.0
# taper_len = 0.0
# waist_len = 0.0
# uptap_len = 0.0
# untap_scale = 1.2
# waist_scale = 0.0
# workingDir = SiN_Waveguide
# axis = slow
# window_ps = 10.0
# steps = 200
# points = 13000
# 
# wavelength [nm]	 power spectral density [dB]
750.010021	-29.377611
750.197703	-29.371747
750.385479	-29.368050
750.573348	-29.364347
750.761312	-29.360638
750.949370	-29.356924
751.137523	-29.353205
751.325769	-29.349480
751.514110	-29.345749
751.702545	-29.342013
751.891075	-29.338271
752.079700	-29.334523
752.268419	-29.330771
752.457233	-29.327012
752.646142	-29.323248
752.835145	-29.319479
753.024244	-29.315704
753.213437	-29.311924
753.402726	-29.308138
753.592110	-29.304347
753.781589	-29.300551
753.971163	-29.296749
754.160833	-29.292942
754.350598	-29.289129
754.540459	-29.285311
754.730415	-29.281488
754.920467	-29.277659
755.110615	-29.273824
755.300858	-29.269985
755.491198	-29.266140
755.681633	-29.262289
755.872164	-29.258433
756.062792	-29.254572
756.253515	-29.250705
756.444335	-29.246832
756.635252	-29.242955
756.826264	-29.239071
757.017373	-29.235183
757.208579	-29.231288
757.399881	-29.227389
757.591280	-29.223483
757.782776	-29.219573
757.974368	-29.215656
758.166058	-29.211735
758.357844	-29.207807
758.549728	-29.203875
758.741708	-29.199936
758.933786	-29.195993
759.125961	-29.192043
759.318233	-29.188089
759.510603	-29.184128
759.703071	-29.180163
759.895635	-29.176191
760.088298	-29.172215
760.281058	-29.168233
760.473916	-29.164245
760.666872	-29.160252
760.859926	-29.156254
761.053078	-29.152250
761.246328	-29.148241
761.439676	-29.144226
761.633122	-29.140206
761.826667	-29.136181
762.020310	-29.132150
762.214052	-29.128114
762.407892	-29.124072
762.601831	-29.120026
762.795868	-29.115973
762.990004	-29.111916
763.184239	-29.107852
763.378573	-29.103784
763.573006	-29.099710
763.767538	-29.095631
763.962169	-29.091546
764.156900	-29.087455
764.351729	-29.083360
764.546658	-29.079258
764.741687	-29.075151
764.936815	-29.071039
765.132042	-29.066921
765.327370	-29.062797
765.522797	-29.058668
765.718324	-29.054534
765.913950	-29.050393
766.109677	-29.046247
766.305504	-29.042096
766.501431	-29.037939
766.697458	-29.033776
766.893586	-29.029607
767.089814	-29.025433
767.286142	-29.021253
767.482571	-29.017068
767.679100	-29.012877
767.875730	-29.008680
768.072461	-29.004477
768.269293	-29.000269
768.466225	-28.996056
768.663259	-28.991836
768.860393	-28.987611
769.057629	-28.983381
769.254966	-28.979144
769.452404	-28.974902
769.649944	-28.970654
769.847585	-28.966401
770.045328	-28.962142
770.243172	-28.957877
770.441118	-28.953607
770.639166	-28.949331
770.837315	-28.945049
771.035567	-28.940762
771.233920	-28.936468
771.432376	-28.932169
771.630934	-28.927865
771.829594	-28.923554
772.028356	-28.919238
772.227220	-28.914916
772.426188	-28.910588
772.625257	-28.906254
772.824430	-28.901914
773.023705	-28.897569
773.223083	-28.893217
773.422563	-28.888860
773.622147	-28.884497
773.821834	-28.880128
774.021624	-28.875753
774.221517	-28.871372
774.421513	-28.866985
774.621613	-28.862592
774.821816	-28.858194
775.022122	-28.853789
775.222532	-28.849378
775.423046	-28.844961
775.623664	-28.840538
775.824385	-28.836109
776.025211	-28.831674
776.226140	-28.827233
776.427173	-28.822785
776.628311	-28.818332
776.829553	-28.813873
777.030899	-28.809407
777.232350	-28.804935
777.433905	-28.800457
777.635564	-28.795973
777.837328	-28.791483
778.039197	-28.786986
778.241171	-28.782484
778.443250	-28.777975
778.645433	-28.773459
778.847722	-28.768938
779.050116	-28.764410
779.252615	-28.759876
779.455219	-28.755336
779.657929	-28.750790
779.860744	-28.746237
780.063665	-28.741677
780.266691	-28.737112
780.469823	-28.732540
780.673061	-28.727962
780.876405	-28.723377
781.079855	-28.718786
781.283410	-28.714189
781.487072	-28.709585
781.690840	-28.704975
781.894715	-28.700358
782.098695	-28.695735
782.302783	-28.691105
782.506976	-28.686469
782.711277	-28.681827
782.915684	-28.677178
783.120198	-28.672522
783.324818	-28.667860
783.529546	-28.663191
783.734381	-28.658516
