; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.296875e-12, -0.4869549058, -0.6454920197
-2.291015625e-12, -0.4161957121, -0.7022438888
-2.28515625e-12, -0.3389592294, -0.7511600761
-2.279296875e-12, -0.2561371436, -0.7915388517
-2.2734375e-12, -0.1686980582, -0.8227797155
-2.267578125e-12, -0.07767596437, -0.844391334
-2.26171875e-12, 0.01584263615, -0.8559981785
-2.255859375e-12, 0.1107327995, -0.8573456499
-2.25e-12, 0.2058460397, -0.8483035054
-2.244140625e-12, 0.3000255598, -0.8288674777
-2.23828125e-12, 0.3921212857, -0.7991590717
-2.232421875e-12, 0.4810042682, -0.7594236336
-2.2265625e-12, 0.565580192, -0.7100268759
-2.220703125e-12, 0.6448019264, -0.6514500987
-2.21484375e-12, 0.717681206, -0.5842843353
-2.208984375e-12, 0.7832995954, -0.5092235864
-2.203125e-12, 0.8408188592, -0.427057202
-2.197265625e-12, 0.889490748, -0.3386613644
-2.19140625e-12, 0.9286660708, -0.2449895679
-2.185546875e-12, 0.9578027969, -0.147061991
-2.1796875e-12, 0.9764728661, -0.04595374123
-2.173828125e-12, 0.9843674109, 0.05721791791
-2.16796875e-12, 0.9813001915, 0.1613071014
-2.162109375e-12, 0.9672092028, 0.2651532259
-2.15625e-12, 0.9421565667, 0.3675948995
-2.150390625e-12, 0.9063269331, 0.4674833885
-2.14453125e-12, 0.8600246453, 0.5636953806
-2.138671875e-12, 0.8036698752, 0.6551449215
-2.1328125e-12, 0.7377938264, 0.7407945553
-2.126953125e-12, 0.663032987, 0.8196658127
-2.12109375e-12, 0.5801223315, 0.8908492123
-2.115234375e-12, 0.4898873592, 0.9535138796
-2.109375e-12, 0.3932349178, 1.006916748
-2.103515625e-12, 0.291142876, 1.050411143
-2.09765625e-12, 0.1846488365, 1.083454435
-2.091796875e-12, 0.07483818217, 1.105614394
-2.0859375e-12, -0.03716820858, 1.116573947
-2.080078125e-12, -0.1502262648, 1.116134196
-2.07421875e-12, -0.2631808048, 1.104215743
-2.068359375e-12, -0.3748772624, 1.080858509
-2.0625e-12, -0.484173025, 1.046220339
-2.056640625e-12, -0.5899484266, 1.000574643
-2.05078125e-12, -0.6911174757, 0.9443071999
-2.044921875e-12, -0.7866383791, 0.8779121307
