MeasResult
PNOISE:LPL
A.19.05,N9000B
503 EP4 P03 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,True
Cancellation,False
Carrier Frequency,168876681.721231
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,0,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,0,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,10
Stop Offset,1000000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6,MeasResult7,MeasResult8
-38.86,601,10,10,9.91E+37,10,0,
168876681.721231,601,-16.62,-17.22,,-16.62,,
67.2028403480484,0,10.1937,10.1937,,-17.22,,
1.17291083076554,,-16.66,-17.56,,9.91E+37,,
20415.142345686,,10.3912,10.3912,,100,,
-17.22,,-17.7,-17.77,,-31.61,,
-98.85,,10.5925,10.5925,,-30.37,,
,,-17.4,-18.04,,9.91E+37,,
,,10.7978,10.7978,,1000,,
,,-20.76,-18.26,,-37.62,,
,,11.0069,11.0069,,-39.8,,
,,-20.7,-18.56,,9.91E+37,,
,,11.2202,11.2202,,10000,,
,,-17.84,-18.74,,-49.17,,
,,11.4376,11.4376,,-50.24,,
,,-18.55,-18.87,,9.91E+37,,
,,11.6591,11.6591,,100000,,
,,-18.37,-18.98,,-80.02,,
,,11.885,11.885,,-78.23,,
,,-19.23,-19.09,,9.91E+37,,
,,12.1153,12.1153,,1000000,,
,,-21.22,-19.35,,-98.27,,
,,12.35,12.35,,-98.85,,
,,-19.36,-19.42,,9.91E+37,,
,,12.5893,12.5893,,,,
,,-19.6,-19.6,,,,
,,12.8332,12.8332,,,,
,,-21.11,-19.79,,,,
,,13.0818,13.0818,,,,
,,-20.57,-19.97,,,,
,,13.3352,13.3352,,,,
,,-23.2,-20.1,,,,
,,13.5936,13.5936,,,,
,,-17.68,-20.23,,,,
,,13.8569,13.8569,,,,
,,-17.85,-20.18,,,,
,,14.1254,14.1254,,,,
,,-19.26,-20.25,,,,
,,14.399,14.399,,,,
