MeasResult
PNOISE:LPL
A.19.05,N9000B
503 EP4 P03 ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,True
Cancellation,False
Carrier Frequency,174043309.238646
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,0,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,0,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Input Port,RF
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,20
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),True
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,10000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,Free
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6,MeasResult7,MeasResult8
,,176.4683,176.4683,,,,
,,-34.32,-33.29,,,,
,,177.8279,177.8279,,,,
,,-31.69,-33.27,,,,
,,179.1981,179.1981,,,,
,,-33.93,-33.25,,,,
,,180.5788,180.5788,,,,
,,-32.72,-33.25,,,,
,,181.9701,181.9701,,,,
,,-31.89,-33.28,,,,
,,183.3721,183.3721,,,,
,,-32.3,-33.36,,,,
,,184.785,184.785,,,,
,,-34.24,-33.39,,,,
,,186.2087,186.2087,,,,
,,-32.76,-33.35,,,,
,,187.6434,187.6434,,,,
,,-35.06,-33.37,,,,
,,189.0892,189.0892,,,,
,,-34.52,-33.43,,,,
,,190.5461,190.5461,,,,
,,-34.36,-33.47,,,,
,,192.0142,192.0142,,,,
,,-33.93,-33.36,,,,
,,193.4936,193.4936,,,,
,,-31.34,-33.32,,,,
,,194.9845,194.9845,,,,
,,-33.17,-33.45,,,,
,,196.4868,196.4868,,,,
,,-33.91,-33.51,,,,
,,198.0007,198.0007,,,,
,,-34.37,-33.57,,,,
,,199.5262,199.5262,,,,
,,-33.85,-33.7,,,,
,,201.0635,201.0635,,,,
,,-34.84,-33.69,,,,
,,202.6127,202.6127,,,,
,,-32.82,-33.62,,,,
,,204.1738,204.1738,,,,
,,-32.85,-33.71,,,,
,,205.7469,205.7469,,,,
,,-32.33,-33.59,,,,
,,207.3322,207.3322,,,,
,,-32.9,-33.48,,,,
,,208.9296,208.9296,,,,
,,-33.11,-33.35,,,,
,,210.5394,210.5394,,,,
,,-33.41,-33.34,,,,
,,212.1615,212.1615,,,,
,,-34.76,-33.45,,,,
,,213.7962,213.7962,,,,
,,-35.35,-33.45,,,,
,,215.4435,215.4435,,,,
,,-34.12,-33.46,,,,
,,217.1034,217.1034,,,,
,,-34.71,-33.44,,,,
,,218.7762,218.7762,,,,
,,-32.27,-33.42,,,,
,,220.4618,220.4618,,,,
,,-32.52,-33.3,,,,
,,222.1604,222.1604,,,,
,,-34.84,-33.3,,,,
,,223.8721,223.8721,,,,
,,-32.38,-33.37,,,,
,,225.597,225.597,,,,
,,-31.84,-33.4,,,,
,,227.3352,227.3352,,,,
,,-31.48,-33.43,,,,
,,229.0868,229.0868,,,,
,,-33.64,-33.43,,,,
,,230.8518,230.8518,,,,
,,-33.96,-33.41,,,,
,,232.6305,232.6305,,,,
,,-33.15,-33.35,,,,
,,234.4229,234.4229,,,,
,,-33.99,-33.31,,,,
,,236.2291,236.2291,,,,
,,-33.9,-33.32,,,,
,,238.0492,238.0492,,,,
,,-33.53,-33.22,,,,
,,239.8833,239.8833,,,,
,,-32.03,-33.3,,,,
,,241.7315,241.7315,,,,
,,-32.76,-33.36,,,,
,,243.594,243.594,,,,
,,-34.42,-33.35,,,,
,,245.4709,245.4709,,,,
,,-33.22,-33.46,,,,
,,247.3622,247.3622,,,,
,,-33.51,-33.47,,,,
,,249.2681,249.2681,,,,
,,-33.13,-33.59,,,,
,,251.1886,251.1886,,,,
,,-32.89,-33.66,,,,
,,253.124,253.124,,,,
,,-33.35,-33.67,,,,
,,255.0743,255.0743,,,,
,,-34.57,-33.69,,,,
,,257.0396,257.0396,,,,
,,-34.31,-33.61,,,,
,,259.02,259.02,,,,
,,-32.27,-33.58,,,,
,,261.0157,261.0157,,,,
,,-34.22,-33.66,,,,
,,263.0268,263.0268,,,,
,,-33.97,-33.75,,,,
,,265.0534,265.0534,,,,
,,-34.46,-33.83,,,,
,,267.0956,267.0956,,,,
,,-35.09,-33.81,,,,
,,269.1535,269.1535,,,,
,,-32,-33.84,,,,
,,271.2273,271.2273,,,,
,,-34.15,-33.83,,,,
,,273.317,273.317,,,,
,,-35.28,-33.88,,,,
,,275.4229,275.4229,,,,
,,-34.21,-33.96,,,,
,,277.545,277.545,,,,
,,-33.57,-34.11,,,,
,,279.6834,279.6834,,,,
,,-32.23,-34.06,,,,
,,281.8383,281.8383,,,,
,,-33.16,-34.13,,,,
,,284.0098,284.0098,,,,
,,-35.38,-34.18,,,,
,,286.198,286.198,,,,
,,-34.12,-34.24,,,,
,,288.4032,288.4032,,,,
,,-34.67,-34.29,,,,
,,290.6252,290.6252,,,,
,,-33.86,-34.27,,,,
,,292.8645,292.8645,,,,
,,-33.94,-34.21,,,,
,,295.1209,295.1209,,,,
,,-33.31,-34.32,,,,
,,297.3948,297.3948,,,,
,,-34.22,-34.36,,,,
,,299.6861,299.6861,,,,
,,-34.76,-34.27,,,,
,,301.9952,301.9952,,,,
,,-36.74,-34.28,,,,
,,304.322,304.322,,,,
,,-33.45,-34.32,,,,
,,306.6667,306.6667,,,,
,,-35.99,-34.37,,,,
,,309.0295,309.0295,,,,
,,-33.44,-34.45,,,,
,,311.4106,311.4106,,,,
,,-35.6,-34.4,,,,
,,313.8099,313.8099,,,,
,,-34.95,-34.43,,,,
,,316.2278,316.2278,,,,
,,-34.08,-34.46,,,,
,,318.6642,318.6642,,,,
,,-33.64,-34.49,,,,
,,321.1195,321.1195,,,,
,,-34.71,-34.5,,,,
,,323.5937,323.5937,,,,
,,-34.9,-34.59,,,,
,,326.0869,326.0869,,,,
,,-33.22,-34.61,,,,
,,328.5993,328.5993,,,,
,,-34.6,-34.6,,,,
,,331.1311,331.1311,,,,
,,-34.32,-34.54,,,,
,,333.6824,333.6824,,,,
,,-33.42,-34.65,,,,
,,336.2534,336.2534,,,,
,,-34.95,-34.58,,,,
,,338.8442,338.8442,,,,
,,-34.23,-34.63,,,,
,,341.4549,341.4549,,,,
,,-34.84,-34.61,,,,
,,344.0857,344.0857,,,,
,,-35.33,-34.58,,,,
,,346.7369,346.7369,,,,
,,-34.53,-34.6,,,,
,,349.4084,349.4084,,,,
,,-34.33,-34.68,,,,
,,352.1005,352.1005,,,,
,,-35.28,-34.68,,,,
,,354.8134,354.8134,,,,
,,-34.67,-34.63,,,,
,,357.5472,357.5472,,,,
,,-34.49,-34.69,,,,
,,360.302,360.302,,,,
,,-35.52,-34.69,,,,
,,363.0781,363.0781,,,,
,,-35.88,-34.7,,,,
,,365.8755,365.8755,,,,
,,-34.34,-34.76,,,,
,,368.6945,368.6945,,,,
,,-34.7,-34.73,,,,
,,371.5352,371.5352,,,,
,,-35.08,-34.74,,,,
,,374.3978,374.3978,,,,
,,-34.17,-34.75,,,,
,,377.2825,377.2825,,,,
,,-34.59,-34.68,,,,
,,380.1894,380.1894,,,,
,,-35.53,-34.69,,,,
,,383.1187,383.1187,,,,
,,-34.7,-34.73,,,,
,,386.0705,386.0705,,,,
,,-33.74,-34.74,,,,
,,389.0451,389.0451,,,,
,,-34.61,-34.76,,,,
,,392.0427,392.0427,,,,
,,-34.59,-34.82,,,,
,,395.0633,395.0633,,,,
,,-34.61,-34.79,,,,
,,398.1072,398.1072,,,,
,,-34.74,-34.82,,,,
,,401.1745,401.1745,,,,
,,-34.39,-34.9,,,,
,,404.2655,404.2655,,,,
,,-34.38,-34.98,,,,
,,407.3803,407.3803,,,,
,,-35.02,-35,,,,
,,410.5191,410.5191,,,,
,,-33.72,-35.08,,,,
,,413.682,413.682,,,,
,,-34.75,-35.11,,,,
,,416.8694,416.8694,,,,
,,-35.21,-35.18,,,,
,,420.0813,420.0813,,,,
,,-35.7,-35.32,,,,
,,423.3179,423.3179,,,,
,,-34.98,-35.44,,,,
,,426.5795,426.5795,,,,
,,-35.86,-35.64,,,,
,,429.8662,429.8662,,,,
,,-34.86,-35.85,,,,
,,433.1783,433.1783,,,,
,,-36.59,-36,,,,
,,436.5158,436.5158,,,,
,,-36.29,-36.1,,,,
,,439.8791,439.8791,,,,
,,-36.45,-36.21,,,,
,,443.2683,443.2683,,,,
,,-35.56,-36.32,,,,
,,446.6836,446.6836,,,,
,,-35.87,-36.45,,,,
,,450.1252,450.1252,,,,
,,-35.3,-36.6,,,,
,,453.5933,453.5933,,,,
,,-37.22,-36.68,,,,
,,457.0882,457.0882,,,,
,,-37.89,-36.69,,,,
,,460.61,460.61,,,,
,,-36.5,-36.68,,,,
