Stage1,Stage2,SNR,Power
0.25, 1, 20.78, 520.1e-6
0.25, 1.25, 20.62, 654e-6
0.25, 1.5, 20.5, 823.1e-6
0.25, 1.75, 20.42, 1.037e-3
0.25, 2, 20.35, 1.306e-3
0.25, 2.25, 20.28, 1.643e-3
0.25, 2.5, 20.23, 2.069e-3
0.25, 2.75, 20.18, 2.603e-3
0.25, 3, 20.12, 3.269e-3
0.25, 3.25, 20.07, 4.102e-3
0.25, 3.5, 20, 5.133e-3
0.25, 3.75, 19.92, 6.395e-3
0.25, 4, 19.82, 7.937e-3
0.25, 4.25, 19.71, 9.794e-3
0.25, 4.5, 19.56, 0.012
0.25, 4.75, 19.39, 0.01457
0.25, 5, 19.13, 0.01731
0.25, 5.25, 18.89, 0.02055
0.25, 5.5, 18.61, 0.02408
0.25, 5.75, 18.3, 0.02786
0.25, 6, 17.96, 0.03178
0.25, 6.25, 17.61, 0.03578
0.25, 6.5, 17.19, 0.03941
0.25, 6.75, 16.82, 0.04328
0.25, 7, 16.45, 0.04692
0.25, 7.25, 16.09, 0.05034
0.25, 7.5, 15.75, 0.05348
0.25, 7.75, 15.43, 0.05634
0.25, 8, 15.14, 0.05889
0.25, 8.25, 14.88, 0.06115
0.35, 1, 20.58, 673.9e-6
0.35, 1.25, 20.47, 848.4e-6
0.35, 1.5, 20.38, 1.069e-3
0.35, 1.75, 20.32, 1.347e-3
0.35, 2, 20.25, 1.695e-3
0.35, 2.25, 20.2, 2.135e-3
0.35, 2.5, 20.15, 2.684e-3
0.35, 2.75, 20.1, 3.374e-3
0.35, 3, 20.04, 4.233e-3
0.35, 3.25, 19.97, 5.292e-3
0.35, 3.5, 19.89, 6.597e-3
0.35, 3.75, 19.79, 8.186e-3
0.35, 4, 19.67, 0.01009
0.35, 4.25, 19.53, 0.01236
0.35, 4.5, 19.35, 0.01499
0.35, 4.75, 19.09, 0.0178
0.35, 5, 18.84, 0.02109
0.35, 5.25, 18.55, 0.02468
0.35, 5.5, 18.24, 0.02852
0.35, 5.75, 17.9, 0.03247
0.35, 6, 17.54, 0.03651
0.35, 6.25, 17.12, 0.04015
0.35, 6.5, 16.75, 0.04402
0.35, 6.75, 16.38, 0.04767
0.35, 7, 16.02, 0.05108
0.35, 7.25, 15.68, 0.05421
0.35, 7.5, 15.36, 0.05705
0.35, 7.75, 15.07, 0.05958
0.35, 8, 14.82, 0.06182
0.35, 8.25, 14.59, 0.06383
0.45, 1, 20.44, 874.3e-6
0.45, 1.25, 20.36, 1.102e-3
0.45, 1.5, 20.29, 1.388e-3
0.45, 1.75, 20.23, 1.748e-3
0.45, 2, 20.18, 2.202e-3
0.45, 2.25, 20.13, 2.77e-3
0.45, 2.5, 20.08, 3.481e-3
0.45, 2.75, 20.02, 4.368e-3
0.45, 3, 19.95, 5.46e-3
0.45, 3.25, 19.87, 6.805e-3
0.45, 3.5, 19.77, 8.439e-3
0.45, 3.75, 19.64, 0.0104
0.45, 4, 19.5, 0.01272
0.45, 4.25, 19.32, 0.01542
0.45, 4.5, 19.05, 0.01829
0.45, 4.75, 18.79, 0.02164
0.45, 5, 18.5, 0.02528
0.45, 5.25, 18.19, 0.02917
0.45, 5.5, 17.84, 0.03316
0.45, 5.75, 17.48, 0.03725
0.45, 6, 17.05, 0.04088
0.45, 6.25, 16.68, 0.04475
0.45, 6.5, 16.31, 0.0484
0.45, 6.75, 15.95, 0.0518
0.45, 7, 15.61, 0.05491
0.45, 7.25, 15.3, 0.05773
0.45, 7.5, 15.01, 0.06024
0.45, 7.75, 14.76, 0.06251
0.45, 8, 14.54, 0.06444
0.45, 8.25, 14.35, 0.06611
0.55, 1, 20.34, 1.135e-3
0.55, 1.25, 20.27, 1.431e-3
0.55, 1.5, 20.22, 1.804e-3
0.55, 1.75, 20.17, 2.271e-3
0.55, 2, 20.12, 2.859e-3
0.55, 2.25, 20.07, 3.591e-3
0.55, 2.5, 20.01, 4.505e-3
0.55, 2.75, 19.93, 5.631e-3
0.55, 3, 19.85, 7.017e-3
0.55, 3.25, 19.75, 8.699e-3
0.55, 3.5, 19.62, 0.01072
0.55, 3.75, 19.47, 0.0131
0.55, 4, 19.28, 0.01584
0.55, 4.25, 19.01, 0.01878
0.55, 4.5, 18.75, 0.02219
0.55, 4.75, 18.46, 0.02589
0.55, 5, 18.13, 0.02982
0.55, 5.25, 17.78, 0.03385
0.55, 5.5, 17.4, 0.03779
0.55, 5.75, 16.99, 0.0416
0.55, 6, 16.61, 0.04544
0.55, 6.25, 16.25, 0.04912
0.55, 6.5, 15.89, 0.0525
0.55, 6.75, 15.55, 0.0556
0.55, 7, 15.24, 0.05839
0.55, 7.25, 14.96, 0.06088
0.55, 7.5, 14.71, 0.06312
0.55, 7.75, 14.49, 0.06503
0.55, 8, 14.31, 0.06667
0.55, 8.25, 14.15, 0.06814
