0.1, 0.1, 23.99, 165.2e-6
0.1, 0.2, 22.27, 222.7e-6
0.1, 0.3, 21.4, 300.7e-6
0.1, 0.4, 20.9, 406.8e-6
0.1, 0.5, 20.6, 551.3e-6
0.1, 0.6, 20.4, 748.2e-6
0.1, 0.7, 20.27, 1.016e-3
0.1, 0.8, 20.16, 1.379e-3
0.1, 0.9, 20.08, 1.871e-3
0.1, 1, 20.01, 2.538e-3
0.1, 1.1, 19.93, 3.43e-3
0.1, 1.2, 19.83, 4.615e-3
0.1, 1.3, 19.71, 6.169e-3
0.1, 1.4, 19.57, 8.172e-3
0.1, 1.5, 19.37, 0.01068
0.1, 1.6, 19.12, 0.01372
0.1, 1.7, 18.73, 0.01707
0.1, 1.8, 18.34, 0.02094
0.1, 1.9, 17.9, 0.02506
0.1, 2, 17.4, 0.02917
0.1, 2.1, 16.88, 0.03313
0.2, 0.1, 23.33, 180.3e-6
0.2, 0.2, 21.95, 243.2e-6
0.2, 0.3, 21.22, 328.6e-6
0.2, 0.4, 20.8, 444.7e-6
0.2, 0.5, 20.53, 602.9e-6
0.2, 0.6, 20.35, 818.7e-6
0.2, 0.7, 20.23, 1.112e-3
0.2, 0.8, 20.14, 1.509e-3
0.2, 0.9, 20.06, 2.048e-3
0.2, 1, 19.98, 2.773e-3
0.2, 1.1, 19.9, 3.744e-3
0.2, 1.2, 19.8, 5.034e-3
0.2, 1.3, 19.67, 6.712e-3
0.2, 1.4, 19.51, 8.854e-3
0.2, 1.5, 19.3, 0.01153
0.2, 1.6, 18.97, 0.01457
0.2, 1.7, 18.62, 0.01819
0.2, 1.8, 18.22, 0.02216
0.2, 1.9, 17.75, 0.0263
0.2, 2, 17.25, 0.03041
0.2, 2.1, 16.73, 0.03431
0.3, 0.1, 22.82, 196.8e-6
0.3, 0.2, 21.69, 265.6e-6
0.3, 0.3, 21.07, 359e-6
0.3, 0.4, 20.7, 486.2e-6
0.3, 0.5, 20.46, 659.5e-6
0.3, 0.6, 20.31, 895.8e-6
0.3, 0.7, 20.2, 1.216e-3
0.3, 0.8, 20.11, 1.65e-3
0.3, 0.9, 20.03, 2.238e-3
0.3, 1, 19.96, 3.032e-3
0.3, 1.1, 19.87, 4.088e-3
0.3, 1.2, 19.76, 5.482e-3
0.3, 1.3, 19.62, 7.29e-3
0.3, 1.4, 19.45, 9.59e-3
0.3, 1.5, 19.22, 0.01241
0.3, 1.6, 18.87, 0.01561
0.3, 1.7, 18.51, 0.01935
0.3, 1.8, 18.08, 0.0234
0.3, 1.9, 17.6, 0.02756
0.3, 2, 17.09, 0.03164
0.3, 2.1, 16.53, 0.03521
0.4, 0.1, 22.4, 214.8e-6
0.4, 0.2, 21.47, 290.1e-6
0.4, 0.3, 20.94, 392.3e-6
0.4, 0.4, 20.62, 531.6e-6
0.4, 0.5, 20.41, 721.4e-6
0.4, 0.6, 20.27, 980.3e-6
0.4, 0.7, 20.17, 1.331e-3
0.4, 0.8, 20.08, 1.806e-3
0.4, 0.9, 20.01, 2.448e-3
0.4, 1, 19.93, 3.311e-3
0.4, 1.1, 19.83, 4.459e-3
0.4, 1.2, 19.72, 5.971e-3
0.4, 1.3, 19.58, 7.917e-3
0.4, 1.4, 19.38, 0.01036
0.4, 1.5, 19.14, 0.01336
0.4, 1.6, 18.77, 0.01668
0.4, 1.7, 18.39, 0.02054
0.4, 1.8, 17.95, 0.02466
0.4, 1.9, 17.45, 0.02882
0.4, 2, 16.93, 0.03282
0.4, 2.1, 16.38, 0.0363
0.5, 0.1, 22.07, 234.6e-6
0.5, 0.2, 21.28, 316.8e-6
0.5, 0.3, 20.83, 428.8e-6
0.5, 0.4, 20.54, 581.2e-6
0.5, 0.5, 20.36, 789.1e-6
0.5, 0.6, 20.23, 1.072e-3
0.5, 0.7, 20.14, 1.455e-3
0.5, 0.8, 20.06, 1.974e-3
0.5, 0.9, 19.98, 2.675e-3
0.5, 1, 19.9, 3.617e-3
0.5, 1.1, 19.8, 4.863e-3
0.5, 1.2, 19.68, 6.493e-3
0.5, 1.3, 19.52, 8.581e-3
0.5, 1.4, 19.32, 0.0112
0.5, 1.5, 19.05, 0.01434
0.5, 1.6, 18.66, 0.01778
0.5, 1.7, 18.26, 0.02174
0.5, 1.8, 17.81, 0.02592
0.5, 1.9, 17.3, 0.03006
0.5, 2, 16.78, 0.034
0.5, 2.1, 16.22, 0.03737
0.6, 0.1, 21.79, 256.1e-6
0.6, 0.2, 21.12, 346.1e-6
0.6, 0.3, 20.73, 468.7e-6
0.6, 0.4, 20.48, 635.6e-6
0.6, 0.5, 20.32, 863.3e-6
0.6, 0.6, 20.2, 1.173e-3
0.6, 0.7, 20.11, 1.592e-3
0.6, 0.8, 20.03, 2.16e-3
0.6, 0.9, 19.96, 2.924e-3
0.6, 1, 19.87, 3.946e-3
0.6, 1.1, 19.77, 5.297e-3
0.6, 1.2, 19.64, 7.06e-3
0.6, 1.3, 19.47, 9.297e-3
0.6, 1.4, 19.24, 0.01206
0.6, 1.5, 18.91, 0.01522
0.6, 1.6, 18.55, 0.01893
0.6, 1.7, 18.13, 0.02298
0.6, 1.8, 17.66, 0.02716
0.6, 1.9, 17.15, 0.03129
0.6, 2, 16.58, 0.03491
0.6, 2.1, 16.07, 0.03839
0.7, 0.1, 21.55, 279.6e-6
0.7, 0.2, 20.99, 378.2e-6
0.7, 0.3, 20.64, 512.3e-6
0.7, 0.4, 20.42, 695.1e-6
0.7, 0.5, 20.28, 944.5e-6
0.7, 0.6, 20.17, 1.282e-3
