0.1, 0.1, 22.78, 194.9e-6, 1.422e-12
0.1, 0.2, 21.66, 263e-6, 1.407e-12
0.1, 0.3, 21.04, 355.5e-6, 1.382e-12
0.1, 0.4, 20.67, 481.5e-6, 1.347e-12
0.1, 0.5, 20.43, 653.1e-6, 1.304e-12
0.1, 0.6, 20.28, 887.2e-6, 1.254e-12
0.1, 0.7, 20.17, 1.204e-3, 1.197e-12
0.1, 0.8, 20.08, 1.635e-3, 1.133e-12
0.1, 0.9, 20, 2.219e-3, 1.055e-12
0.1, 1, 19.93, 3.004e-3, 932.7e-15
0.1, 1.1, 19.84, 4.052e-3, 797.8e-15
0.1, 1.2, 19.73, 5.436e-3, 727.1e-15
0.1, 1.3, 19.6, 7.231e-3, 677.8e-15
0.1, 1.4, 19.43, 9.517e-3, 638.2e-15
0.1, 1.5, 19.2, 0.01233, 604.4e-15
0.1, 1.6, 18.85, 0.01551, 574.4e-15
0.1, 1.7, 18.49, 0.01924, 547.3e-15
0.1, 1.8, 18.07, 0.02329, 522.3e-15
0.1, 1.9, 17.59, 0.02744, 499.1e-15
0.1, 2, 17.08, 0.03152, 477.6e-15
0.1, 2.1, 16.52, 0.0351, 457.6e-15
0.2, 0.1, 21.73, 251.2e-6, 1.404e-12
0.2, 0.2, 21.07, 339.5e-6, 1.381e-12
0.2, 0.3, 20.67, 459.8e-6, 1.347e-12
0.2, 0.4, 20.43, 623.6e-6, 1.304e-12
0.2, 0.5, 20.27, 847.1e-6, 1.255e-12
0.2, 0.6, 20.15, 1.151e-3, 1.198e-12
0.2, 0.7, 20.06, 1.563e-3, 1.135e-12
0.2, 0.8, 19.98, 2.121e-3, 1.059e-12
0.2, 0.9, 19.91, 2.873e-3, 943.4e-15
0.2, 1, 19.82, 3.878e-3, 803.1e-15
0.2, 1.1, 19.73, 5.213e-3, 729.6e-15
0.2, 1.2, 19.6, 6.947e-3, 679.1e-15
0.2, 1.3, 19.43, 9.157e-3, 639.1e-15
0.2, 1.4, 19.21, 0.0119, 604.9e-15
0.2, 1.5, 18.88, 0.01503, 574.9e-15
0.2, 1.6, 18.52, 0.01872, 547.6e-15
0.2, 1.7, 18.11, 0.02275, 522.5e-15
0.2, 1.8, 17.63, 0.02693, 499.4e-15
0.2, 1.9, 17.13, 0.03107, 477.8e-15
0.2, 2, 16.57, 0.03475, 457.7e-15
0.2, 2.1, 16.05, 0.03821, 438.8e-15
0.3, 0.1, 21.12, 324.2e-6, 1.379e-12
0.3, 0.2, 20.69, 438.9e-6, 1.346e-12
0.3, 0.3, 20.43, 595.3e-6, 1.305e-12
0.3, 0.4, 20.26, 808.6e-6, 1.255e-12
0.3, 0.5, 20.14, 1.099e-3, 1.2e-12
0.3, 0.6, 20.05, 1.492e-3, 1.137e-12
0.3, 0.7, 19.97, 2.026e-3, 1.063e-12
0.3, 0.8, 19.9, 2.746e-3, 953.4e-15
0.3, 0.9, 19.82, 3.713e-3, 808.9e-15
0.3, 1, 19.72, 4.993e-3, 732.3e-15
0.3, 1.1, 19.6, 6.665e-3, 680.6e-15
0.3, 1.2, 19.43, 8.805e-3, 639.9e-15
0.3, 1.3, 19.23, 0.01148, 605.5e-15
0.3, 1.4, 18.9, 0.01454, 575.3e-15
0.3, 1.5, 18.56, 0.01819, 547.9e-15
0.3, 1.6, 18.15, 0.0222, 522.8e-15
0.3, 1.7, 17.69, 0.02642, 499.6e-15
0.3, 1.8, 17.18, 0.03059, 478e-15
0.3, 1.9, 16.64, 0.03445, 457.9e-15
0.3, 2, 16.1, 0.0379, 439e-15
0.3, 2.1, 15.61, 0.04103, 421e-15
0.4, 0.1, 20.72, 419e-6, 1.346e-12
0.4, 0.2, 20.44, 568.2e-6, 1.305e-12
0.4, 0.3, 20.26, 771.7e-6, 1.256e-12
0.4, 0.4, 20.14, 1.05e-3, 1.201e-12
0.4, 0.5, 20.05, 1.426e-3, 1.14e-12
0.4, 0.6, 19.97, 1.936e-3, 1.067e-12
0.4, 0.7, 19.9, 2.626e-3, 962.3e-15
0.4, 0.8, 19.82, 3.551e-3, 815.3e-15
0.4, 0.9, 19.72, 4.781e-3, 735e-15
0.4, 1, 19.6, 6.392e-3, 682.1e-15
0.4, 1.1, 19.45, 8.468e-3, 640.8e-15
0.4, 1.2, 19.25, 0.01106, 606.2e-15
0.4, 1.3, 18.99, 0.01421, 575.6e-15
0.4, 1.4, 18.61, 0.01767, 548.2e-15
0.4, 1.5, 18.21, 0.02167, 523e-15
0.4, 1.6, 17.75, 0.02588, 499.8e-15
0.4, 1.7, 17.25, 0.03009, 478.2e-15
0.4, 1.8, 16.72, 0.03413, 458.1e-15
0.4, 1.9, 16.16, 0.03756, 439.1e-15
0.4, 2, 15.66, 0.04079, 421.1e-15
0.4, 2.1, 15.2, 0.04348, 403.8e-15
0.5, 0.1, 20.46, 542.1e-6, 1.305e-12
0.5, 0.2, 20.27, 736.3e-6, 1.257e-12
