MeasResult
PNOISE:LPL
A.14.04,N9030A
550 DP2 EDP EP1 EXM FS1 FSA LFE LNP MPB NFE NUL P50 PFR RTL ,01
AllowZeroAtten,False
AM Rejection,True
Automatic Trigger Time,0.1
Automatic Trigger Time State,False
Average Mode,Repeat
Average Number,10
Average State,False
Cancellation,False
Carrier Frequency,System.Object[],System.Object[],System.Object[]
Electrical Atten,0
Electrical Atten State,False
External Array Trigger Delay,1E-06,1E-06,0,0
External Array Trigger Delay State,False,False,False,False
External Array Trigger Level,1.2,1.2,0,0
External Array Trigger Slope,Positive,Positive,Positive,Positive
ExternalGainValueSelection,Preamp
ExtGainPreampDb,0
Internal Preamp,False
Internal Preamp Band,Low
Line Trigger Delay,1E-06
Line Trigger Delay State,False
Line Trigger Slope,Positive
Meas Type,PhaseNoise
Mechanical Atten,10
MechanicalAttenStepEnum,S2dB
Overdrive(Mech Atten),False
Periodic Timer Period,0.02
Periodic Timer Sync Source,None
Periodic Timer Trigger Delay,1E-06
Periodic Timer Trigger Delay State,False
Preselector Adjust,0
Reference Trace,3
RFBurst Trigger Delay,1E-06
RFBurst Trigger Delay State,False
RFBurst Trigger Level Abs,-20
RFBurst Trigger Level Rel,-6
RFBurst Trigger Level Type,Absolute
RFBurst Trigger Slope,Positive
Smoothing,4
Start Offset,100
Stop Offset,100000
Threshold,0.01
Trace Type,Raw,Smoothed,Blank,Raw,Raw,Raw
Trigger Holdoff,0.1
Trigger Holdoff State,False
Trigger Source,System.Object[],System.Object[]
MeasResult1,MeasResult2,MeasResult3,MeasResult4,MeasResult5,MeasResult6
,,257.0396,257.0396,,
,,-38.42,-37.8,,
,,260.016,260.016,,
,,-40.42,-37.54,,
,,263.0268,263.0268,,
,,-40.3,-37.39,,
,,266.0725,266.0725,,
,,-36.77,-37.64,,
,,269.1535,269.1535,,
,,-38.47,-37.85,,
,,272.2701,272.2701,,
,,-35.68,-37.8,,
,,275.4229,275.4229,,
,,-35.87,-37.78,,
,,278.6121,278.6121,,
,,-37.2,-37.87,,
,,281.8383,281.8383,,
,,-39.44,-37.84,,
,,285.1018,285.1018,,
,,-37.91,-37.88,,
,,288.4032,288.4032,,
,,-40.54,-37.9,,
,,291.7427,291.7427,,
,,-36.92,-37.96,,
,,295.1209,295.1209,,
,,-34.88,-37.93,,
,,298.5383,298.5383,,
,,-37.01,-37.83,,
,,301.9952,301.9952,,
,,-37.29,-37.71,,
,,305.4921,305.4921,,
,,-40.87,-37.67,,
,,309.0295,309.0295,,
,,-38.45,-37.63,,
,,312.6079,312.6079,,
,,-39.86,-37.7,,
,,316.2278,316.2278,,
,,-39.43,-37.88,,
,,319.8895,319.8895,,
,,-36.22,-37.95,,
,,323.5937,323.5937,,
,,-36.25,-37.81,,
,,327.3407,327.3407,,
,,-36.47,-37.76,,
,,331.1311,331.1311,,
,,-38.49,-37.76,,
,,334.9654,334.9654,,
,,-37.67,-37.75,,
,,338.8442,338.8442,,
,,-38.09,-37.75,,
,,342.7678,342.7678,,
,,-37.44,-37.75,,
,,346.7369,346.7369,,
,,-35.99,-37.67,,
,,350.7519,350.7519,,
,,-37.41,-37.52,,
,,354.8134,354.8134,,
,,-37.3,-37.51,,
,,358.9219,358.9219,,
,,-40.07,-37.27,,
,,363.0781,363.0781,,
,,-38.76,-37.24,,
,,367.2823,367.2823,,
,,-36.35,-37.34,,
,,371.5352,371.5352,,
,,-36.72,-37.28,,
,,375.8374,375.8374,,
,,-40.52,-37.22,,
,,380.1894,380.1894,,
,,-36.74,-37.2,,
,,384.5918,384.5918,,
,,-34.94,-37.15,,
,,389.0451,389.0451,,
,,-36.93,-37.11,,
,,393.5501,393.5501,,
,,-35.54,-37.1,,
,,398.1072,398.1072,,
,,-37.31,-37.08,,
,,402.717,402.717,,
,,-38.19,-37.09,,
,,407.3803,407.3803,,
,,-34.38,-36.95,,
,,412.0975,412.0975,,
,,-38.67,-36.72,,
,,416.8694,416.8694,,
,,-38.54,-36.67,,
,,421.6965,421.6965,,
,,-34.86,-36.68,,
,,426.5795,426.5795,,
,,-35.2,-36.67,,
,,431.5191,431.5191,,
,,-37.95,-36.58,,
,,436.5158,436.5158,,
,,-36.65,-36.5,,
,,441.5704,441.5704,,
,,-36.98,-36.59,,
,,446.6836,446.6836,,
,,-37.27,-36.55,,
,,451.8559,451.8559,,
,,-35.67,-36.76,,
,,457.0882,457.0882,,
,,-37.55,-36.7,,
,,462.381,462.381,,
,,-34.01,-36.58,,
,,467.7351,467.7351,,
,,-34.88,-36.67,,
,,473.1513,473.1513,,
,,-37.56,-36.65,,
,,478.6301,478.6301,,
,,-36.55,-36.49,,
,,484.1724,484.1724,,
,,-36.44,-36.74,,
,,489.7788,489.7788,,
,,-38.5,-36.7,,
,,495.4502,495.4502,,
,,-34.95,-36.63,,
,,501.1872,501.1872,,
,,-37.02,-36.6,,
,,506.9907,506.9907,,
,,-35.97,-36.54,,
,,512.8614,512.8614,,
,,-40.3,-36.51,,
,,518.8,518.8,,
,,-36.05,-36.35,,
,,524.8075,524.8075,,
,,-35.45,-36.31,,
,,530.8844,530.8844,,
,,-36.37,-36.25,,
,,537.0318,537.0318,,
,,-38.22,-36.16,,
,,543.2503,543.2503,,
,,-34.83,-36.11,,
,,549.5409,549.5409,,
,,-40.7,-36.06,,
,,555.9043,555.9043,,
,,-34.29,-35.98,,
,,562.3413,562.3413,,
,,-36.39,-35.8,,
,,568.8529,568.8529,,
,,-35.94,-35.76,,
,,575.4399,575.4399,,
,,-35.4,-35.68,,
,,582.1032,582.1032,,
,,-36.66,-35.87,,
,,588.8437,588.8437,,
,,-32.11,-35.74,,
,,595.6621,595.6621,,
,,-36.55,-35.68,,
,,602.5596,602.5596,,
,,-32.69,-35.65,,
,,609.5369,609.5369,,
,,-32.72,-35.71,,
,,616.595,616.595,,
,,-36.44,-35.75,,
,,623.7348,623.7348,,
,,-35.48,-35.87,,
,,630.9573,630.9573,,
,,-34.58,-35.76,,
,,638.2635,638.2635,,
,,-34.31,-35.95,,
,,645.6542,645.6542,,
,,-33.95,-36.16,,
,,653.1306,653.1306,,
,,-35.27,-36.46,,
,,660.6934,660.6934,,
,,-40.33,-36.7,,
,,668.3439,668.3439,,
,,-37.26,-36.85,,
,,676.083,676.083,,
,,-34.77,-37.32,,
,,683.9116,683.9116,,
,,-34.79,-37.61,,
,,691.831,691.831,,
,,-37.64,-37.99,,
,,699.842,699.842,,
,,-39.13,-38.33,,
,,707.9458,707.9458,,
,,-37.63,-38.61,,
,,716.1434,716.1434,,
,,-38.08,-38.89,,
,,724.436,724.436,,
,,-38.76,-39.17,,
,,732.8245,732.8245,,
,,-41.3,-39.49,,
,,741.3102,741.3102,,
,,-42.85,-39.76,,
,,749.8942,749.8942,,
,,-40.71,-40,,
,,758.5776,758.5776,,
,,-40.17,-40,,
,,767.3615,767.3615,,
,,-42.92,-40.24,,
,,776.2471,776.2471,,
,,-43.21,-40.72,,
,,785.2356,785.2356,,
,,-41.36,-41.02,,
,,794.3282,794.3282,,
,,-40.55,-41.17,,
,,803.5261,803.5261,,
,,-42.91,-41.17,,
,,812.8305,812.8305,,
,,-41.87,-41.28,,
,,822.2426,822.2426,,
,,-41.24,-41.29,,
,,831.7638,831.7638,,
,,-41.58,-41.39,,
,,841.3951,841.3951,,
,,-40.16,-41.28,,
,,851.138,851.138,,
,,-40.8,-41.23,,
,,860.9938,860.9938,,
,,-40.19,-41.35,,
,,870.9636,870.9636,,
,,-42.83,-41.68,,
,,881.0489,881.0489,,
,,-45.91,-41.91,,
,,891.2509,891.2509,,
,,-41.54,-42.15,,
,,901.5711,901.5711,,
,,-41.2,-42.5,,
,,912.0108,912.0108,,
,,-39.03,-42.91,,
,,922.5714,922.5714,,
,,-40.34,-43.23,,
,,933.2543,933.2543,,
,,-38.2,-43.46,,
,,944.0609,944.0609,,
,,-41.06,-43.65,,
,,954.9926,954.9926,,
,,-38.8,-44.24,,
,,966.0509,966.0509,,
,,-41.79,-45.07,,
,,977.2372,977.2372,,
,,-43.33,-46.05,,
,,988.5531,988.5531,,
,,-39.56,-47.32,,
,,1000,1000,,
,,-37.85,-48.4,,
,,1011.5795,1011.5795,,
,,-36.74,-49.37,,
,,1023.293,1023.293,,
,,-37.3,-50.57,,
,,1035.1422,1035.1422,,
,,-40.54,-51.89,,
,,1047.1285,1047.1285,,
,,-44.99,-53.22,,
,,1059.2537,1059.2537,,
,,-47.16,-54.3,,
,,1071.5193,1071.5193,,
,,-45.54,-55.59,,
,,1083.9269,1083.9269,,
,,-43.31,-57.05,,
,,1096.4782,1096.4782,,
,,-41.97,-58.43,,
,,1109.1748,1109.1748,,
,,-68.93,-59.69,,
,,1122.0185,1122.0185,,
,,-69.42,-60.87,,
,,1135.0108,1135.0108,,
,,-67.48,-61.87,,
,,1148.1536,1148.1536,,
,,-68.35,-62.99,,
,,1161.4486,1161.4486,,
,,-69.14,-64.06,,
,,1174.8976,1174.8976,,
,,-71.42,-65.07,,
,,1188.5022,1188.5022,,
,,-69.74,-66.17,,
,,1202.2644,1202.2644,,
,,-65.2,-67.18,,
,,1216.186,1216.186,,
,,-67.88,-68.33,,
,,1230.2688,1230.2688,,
,,-74.57,-69.38,,
,,1244.5146,1244.5146,,
,,-70.59,-70.16,,
,,1258.9254,1258.9254,,
,,-70.81,-70.81,,
,,1273.5031,1273.5031,,
,,-70.44,-71.03,,
,,1288.2496,1288.2496,,
,,-70.61,-71.09,,
,,1303.1668,1303.1668,,
,,-74.04,-71.44,,
,,1318.2567,1318.2567,,
,,-73.41,-71.76,,
,,1333.5214,1333.5214,,
,,-72.56,-71.99,,
,,1348.9629,1348.9629,,
,,-75.18,-72.35,,
,,1364.5831,1364.5831,,
,,-73.79,-72.54,,
,,1380.3843,1380.3843,,
,,-73.5,-72.92,,
,,1396.3684,1396.3684,,
,,-69.6,-73.18,,
,,1412.5375,1412.5375,,
,,-73.22,-73.09,,
