; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.466796875e-12, -9.773505937e-6, -101.2809979e-6
-2.4609375e-12, -14.72633917e-6, -97.87263612e-6
-2.455078125e-12, -19.48666362e-6, -95.32914309e-6
-2.44921875e-12, -23.66599746e-6, -93.3014738e-6
-2.443359375e-12, -27.15968221e-6, -91.3227946e-6
-2.4375e-12, -30.1550464e-6, -88.98769236e-6
-2.431640625e-12, -33.04144034e-6, -86.1042458e-6
-2.42578125e-12, -36.25306149e-6, -82.7702625e-6
-2.419921875e-12, -40.09658963e-6, -79.34957012e-6
-2.4140625e-12, -44.62019563e-6, -76.35630961e-6
-2.408203125e-12, -49.56706394e-6, -74.28459252e-6
-2.40234375e-12, -54.42945781e-6, -73.43833917e-6
-2.396484375e-12, -58.58721023e-6, -73.81608956e-6
-2.390625e-12, -61.48759218e-6, -75.08815267e-6
-2.384765625e-12, -62.81032427e-6, -76.67425244e-6
-2.37890625e-12, -62.56616267e-6, -77.89815571e-6
-2.373046875e-12, -61.09844683e-6, -78.17165143e-6
-2.3671875e-12, -58.98755371e-6, -77.15128862e-6
-2.361328125e-12, -56.8886395e-6, -74.82027171e-6
-2.35546875e-12, -55.3536578e-6, -71.47194378e-6
-2.349609375e-12, -54.69284689e-6, -67.60261174e-6
-2.34375e-12, -54.91740331e-6, -63.7499683e-6
-2.337890625e-12, -55.77837926e-6, -60.3298768e-6
-2.33203125e-12, -56.88569103e-6, -57.52359894e-6
-2.326171875e-12, -57.86560963e-6, -55.25007008e-6
-2.3203125e-12, -58.50341179e-6, -53.2293844e-6
-2.314453125e-12, -58.82367964e-6, -51.1135534e-6
-2.30859375e-12, -59.08205802e-6, -48.63865404e-6
-2.302734375e-12, -59.67207347e-6, -45.74584062e-6
-2.296875e-12, -60.97905337e-6, -42.62949467e-6
-2.291015625e-12, -63.23085562e-6, -39.69539772e-6
-2.28515625e-12, -66.39620967e-6, -37.44200912e-6
-2.279296875e-12, -70.16569484e-6, -36.30366657e-6
-2.2734375e-12, -74.02305182e-6, -36.50730077e-6
-2.267578125e-12, -77.38472116e-6, -37.98991137e-6
-2.26171875e-12, -79.76307156e-6, -40.40409721e-6
-2.255859375e-12, -80.90110813e-6, -43.21001331e-6
-2.25e-12, -80.83604637e-6, -45.82385492e-6
-2.244140625e-12, -79.87276787e-6, -47.7747597e-6
-2.23828125e-12, -78.47789364e-6, -48.819929e-6
-2.232421875e-12, -77.13103083e-6, -48.98240436e-6
-2.2265625e-12, -76.18304598e-6, -48.50224646e-6
-2.220703125e-12, -75.76766327e-6, -47.72089399e-6
-2.21484375e-12, -75.79366247e-6, -46.94044294e-6
-2.208984375e-12, -76.01701934e-6, -46.3071541e-6
-2.203125e-12, -76.16499996e-6, -45.75922618e-6
-2.197265625e-12, -76.06676445e-6, -45.05601012e-6
-2.19140625e-12, -75.74336287e-6, -43.87725818e-6
-2.185546875e-12, -75.42461709e-6, -41.95654259e-6
-2.1796875e-12, -75.48616056e-6, -39.20106592e-6
-2.173828125e-12, -76.32789069e-6, -35.75477633e-6
-2.16796875e-12, -78.23559801e-6, -31.98128834e-6
-2.162109375e-12, -81.27353924e-6, -28.37076982e-6
-2.15625e-12, -85.24522606e-6, -25.40114373e-6
-2.150390625e-12, -89.73639444e-6, -23.39966745e-6
-2.14453125e-12, -94.2260801e-6, -22.45079326e-6
-2.138671875e-12, -98.22865218e-6, -22.38026084e-6
-2.1328125e-12, -101.4195336e-6, -22.8192171e-6
-2.126953125e-12, -103.7036398e-6, -23.32495878e-6
-2.12109375e-12, -105.2059982e-6, -23.51611651e-6
-2.115234375e-12, -106.1912901e-6, -23.17617971e-6
-2.109375e-12, -106.9435238e-6, -22.29140891e-6
-2.103515625e-12, -107.6501839e-6, -21.01301337e-6
-2.09765625e-12, -108.3325346e-6, -19.56053041e-6
-2.091796875e-12, -108.8464003e-6, -18.10402198e-6
-2.0859375e-12, -108.9518694e-6, -16.66968319e-6
-2.080078125e-12, -108.4251899e-6, -15.10437363e-6
-2.07421875e-12, -107.1706824e-6, -13.11285767e-6
-2.068359375e-12, -105.2904083e-6, -10.35502958e-6
-2.0625e-12, -103.0845797e-6, -6.568541287e-6
-2.056640625e-12, -100.9806259e-6, -1.672798458e-6
-2.05078125e-12, -99.41435602e-6, 4.183341536e-6
-2.044921875e-12, -98.70372287e-6, 10.64786312e-6
-2.0390625e-12, -98.95837928e-6, 17.25722568e-6
-2.033203125e-12, -100.0556361e-6, 23.5616318e-6
-2.02734375e-12, -101.6899641e-6, 29.24085827e-6
-2.021484375e-12, -103.4771591e-6, 34.17179417e-6
-2.015625e-12, -105.0752156e-6, 38.42675428e-6
-2.009765625e-12, -106.2789486e-6, 42.20662179e-6
-2.00390625e-12, -107.0562455e-6, 45.73603296e-6
-1.998046875e-12, -107.5161664e-6, 49.16097046e-6
-1.9921875e-12, -107.8243742e-6, 52.48746751e-6
-1.986328125e-12, -108.1002756e-6, 55.58401832e-6
-1.98046875e-12, -108.3362936e-6, 58.24560658e-6
-1.974609375e-12, -108.3710211e-6, 60.29346763e-6
-1.96875e-12, -107.9278066e-6, 61.67107979e-6
-1.962890625e-12, -106.7056626e-6, 62.49854883e-6
-1.95703125e-12, -104.4892204e-6, 63.0633887e-6
-1.951171875e-12, -101.236538e-6, 63.74926264e-6
-1.9453125e-12, -97.111401e-6, 64.92677958e-6
-1.939453125e-12, -92.44754319e-6, 66.84416332e-6
-1.93359375e-12, -87.65773868e-6, 69.5559682e-6
-1.927734375e-12, -83.12075721e-6, 72.91473372e-6
-1.921875e-12, -79.08611981e-6, 76.62780643e-6
-1.916015625e-12, -75.62852834e-6, 80.35748836e-6
-1.91015625e-12, -72.6647114e-6, 83.82651772e-6
-1.904296875e-12, -70.02269156e-6, 86.88952789e-6
-1.8984375e-12, -67.53503235e-6, 89.54550006e-6
-1.892578125e-12, -65.11948232e-6, 91.89034284e-6
-1.88671875e-12, -62.81541152e-6, 94.03233402e-6
-1.880859375e-12, -60.76134752e-6, 96.00661261e-6
-1.875e-12, -59.12226713e-6, 97.7235791e-6
-1.869140625e-12, -57.99629286e-6, 98.97172312e-6
-1.86328125e-12, -57.34005814e-6, 99.47445543e-6
-1.857421875e-12, -56.94530053e-6, 98.98070912e-6
-1.8515625e-12, -56.47848564e-6, 97.35673905e-6
-1.845703125e-12, -55.56947383e-6, 94.64536101e-6
-1.83984375e-12, -53.91585519e-6, 91.06945324e-6
-1.833984375e-12, -51.36467121e-6, 86.97614347e-6
-1.828125e-12, -47.94377775e-6, 82.74048622e-6
-1.822265625e-12, -43.83528153e-6, 78.66402254e-6
-1.81640625e-12, -39.30445456e-6, 74.90666418e-6
-1.810546875e-12, -34.61177272e-6, 71.47709876e-6
-1.8046875e-12, -29.93954065e-6, 68.28217697e-6
-1.798828125e-12, -25.35805405e-6, 65.21050079e-6
-1.79296875e-12, -20.84197394e-6, 62.21155628e-6
-1.787109375e-12, -16.32954589e-6, 59.335649e-6
-1.78125e-12, -11.80068813e-6, 56.71910661e-6
-1.775390625e-12, -7.340765925e-6, 54.52388685e-6
-1.76953125e-12, -3.160015193e-6, 52.85929137e-6
-1.763671875e-12, 444.9639396e-9, 51.71862034e-6
-1.7578125e-12, 3.17667583e-6, 50.95517673e-6
-1.751953125e-12, 4.836051804e-6, 50.30571951e-6
-1.74609375e-12, 5.393908135e-6, 49.45270377e-6
-1.740234375e-12, 5.003309272e-6, 48.1048655e-6
-1.734375e-12, 3.947287375e-6, 46.07103017e-6
-1.728515625e-12, 2.545114165e-6, 43.30430618e-6
-1.72265625e-12, 1.05794622e-6, 39.90225237e-6
-1.716796875e-12, -367.3989522e-9, 36.06201679e-6
-1.7109375e-12, -1.697840469e-6, 32.00520085e-6
-1.705078125e-12, -2.965147916e-6, 27.90026943e-6
-1.69921875e-12, -4.197952851e-6, 23.81433507e-6
-1.693359375e-12, -5.368637595e-6, 19.7167519e-6
