; Pulse saved with RP Fiber Power
; Domain: time.
;
; t1 = -2.994140625e-12
; t2 = 3e-12
; dt = 5.859375e-15
; lambda_ref = 1.542e-6
;
; Data: t (s), Re(A) (sqrt(W)), Im(A) (sqrt(W)):
-2.390625e-12, -467.2848468e-6, -687.996739e-6
-2.384765625e-12, -490.8159284e-6, -661.7092412e-6
-2.37890625e-12, -513.3735668e-6, -636.9157298e-6
-2.373046875e-12, -534.2472478e-6, -613.8245797e-6
-2.3671875e-12, -552.7574059e-6, -592.3011107e-6
-2.361328125e-12, -568.4110258e-6, -571.9195362e-6
-2.35546875e-12, -581.0101899e-6, -552.0847794e-6
-2.349609375e-12, -590.6862163e-6, -532.1915582e-6
-2.34375e-12, -597.8514704e-6, -511.7785881e-6
-2.337890625e-12, -603.0838805e-6, -490.6371179e-6
-2.33203125e-12, -606.9770106e-6, -468.846637e-6
-2.326171875e-12, -609.997612e-6, -446.730542e-6
-2.3203125e-12, -612.3896286e-6, -424.7475679e-6
-2.314453125e-12, -614.1495155e-6, -403.3517611e-6
-2.30859375e-12, -615.077304e-6, -382.8621295e-6
-2.302734375e-12, -614.8860578e-6, -363.3790726e-6
-2.296875e-12, -613.3364416e-6, -344.7707233e-6
-2.291015625e-12, -610.356187e-6, -326.7323162e-6
-2.28515625e-12, -606.108752e-6, -308.900537e-6
-2.279296875e-12, -600.99008e-6, -290.9892223e-6
-2.2734375e-12, -595.5527193e-6, -272.9061053e-6
-2.267578125e-12, -590.3780195e-6, -254.8155607e-6
-2.26171875e-12, -585.9319352e-6, -237.1275035e-6
-2.255859375e-12, -582.4458149e-6, -220.4136017e-6
-2.25e-12, -579.8562974e-6, -205.2731853e-6
-2.244140625e-12, -577.8223087e-6, -192.1853547e-6
-2.23828125e-12, -575.8150073e-6, -181.3881253e-6
-2.232421875e-12, -573.2565637e-6, -172.8171709e-6
-2.2265625e-12, -569.6702223e-6, -166.1205298e-6
-2.220703125e-12, -564.801397e-6, -160.7441107e-6
-2.21484375e-12, -558.6779331e-6, -156.0637867e-6
-2.208984375e-12, -551.5948457e-6, -151.526997e-6
-2.203125e-12, -544.0301535e-6, -146.7650006e-6
-2.197265625e-12, -536.5176195e-6, -141.6458159e-6
-2.19140625e-12, -529.5140203e-6, -136.2554666e-6
-2.185546875e-12, -523.2994787e-6, -130.8163259e-6
-2.1796875e-12, -517.9386814e-6, -125.5697397e-6
-2.173828125e-12, -513.3122498e-6, -120.6602621e-6
-2.16796875e-12, -509.2060693e-6, -116.0574111e-6
-2.162109375e-12, -505.4296821e-6, -111.5389651e-6
-2.15625e-12, -501.9260164e-6, -106.7409757e-6
-2.150390625e-12, -498.8380169e-6, -101.2594368e-6
-2.14453125e-12, -496.510103e-6, -94.77295549e-6
-2.138671875e-12, -495.4223675e-6, -87.14896865e-6
-2.1328125e-12, -496.0748407e-6, -78.50066139e-6
-2.126953125e-12, -498.8548315e-6, -69.17538654e-6
-2.12109375e-12, -503.9255084e-6, -59.67573605e-6
-2.115234375e-12, -511.1687461e-6, -50.53398011e-6
-2.109375e-12, -520.1992166e-6, -42.17514952e-6
-2.103515625e-12, -530.4462524e-6, -34.80696197e-6
-2.09765625e-12, -541.2802978e-6, -28.36739475e-6
-2.091796875e-12, -552.148358e-6, -22.54346462e-6
-2.0859375e-12, -562.6808662e-6, -16.85449594e-6
-2.080078125e-12, -572.7414605e-6, -10.77450675e-6
-2.07421875e-12, -582.4084528e-6, -3.857823017e-6
-2.068359375e-12, -591.896824e-6, 4.167905878e-6
-2.0625e-12, -601.446641e-6, 13.36689515e-6
-2.056640625e-12, -611.213405e-6, 23.62615922e-6
-2.05078125e-12, -621.1942425e-6, 34.73993708e-6
-2.044921875e-12, -631.2125515e-6, 46.51868132e-6
-2.0390625e-12, -640.9643728e-6, 58.88674616e-6
-2.033203125e-12, -650.1109864e-6, 71.93660354e-6
-2.02734375e-12, -658.3868192e-6, 85.92138128e-6
-2.021484375e-12, -665.6877833e-6, 101.1870805e-6
-2.015625e-12, -672.1103716e-6, 118.0647183e-6
-2.009765625e-12, -677.928032e-6, 136.7555874e-6
-2.00390625e-12, -683.5098359e-6, 157.2447397e-6
-1.998046875e-12, -689.2047959e-6, 179.2701945e-6
-1.9921875e-12, -695.2254117e-6, 202.3584499e-6
-1.986328125e-12, -701.5651127e-6, 225.9176874e-6
-1.98046875e-12, -707.9741117e-6, 249.362255e-6
-1.974609375e-12, -714.000887e-6, 272.2330409e-6
-1.96875e-12, -719.0867569e-6, 294.2794938e-6
-1.962890625e-12, -722.6852394e-6, 315.4810207e-6
-1.95703125e-12, -724.3707498e-6, 336.004135e-6
-1.951171875e-12, -723.9054352e-6, 356.1111461e-6
-1.9453125e-12, -721.2464762e-6, 376.0505547e-6
-1.939453125e-12, -716.4954358e-6, 395.9635411e-6
-1.93359375e-12, -709.8086598e-6, 415.835036e-6
-1.927734375e-12, -701.3000238e-6, 435.5028247e-6
-1.921875e-12, -690.9684813e-6, 454.7195865e-6
-1.916015625e-12, -678.6752034e-6, 473.2456491e-6
-1.91015625e-12, -664.1780724e-6, 490.9405e-6
-1.904296875e-12, -647.2133011e-6, 507.8214735e-6
-1.8984375e-12, -627.5974552e-6, 524.0684445e-6
-1.892578125e-12, -605.3166351e-6, 539.9709245e-6
-1.88671875e-12, -580.5723385e-6, 555.8326617e-6
-1.880859375e-12, -553.7676052e-6, 571.8629744e-6
-1.875e-12, -525.4351037e-6, 588.0885284e-6
-1.869140625e-12, -496.1275298e-6, 604.3131601e-6
-1.86328125e-12, -466.3018331e-6, 620.1385877e-6
-1.857421875e-12, -436.2312794e-6, 635.0400662e-6
-1.8515625e-12, -405.9700716e-6, 648.4745191e-6
-1.845703125e-12, -375.3797477e-6, 659.9889162e-6
-1.83984375e-12, -344.2070047e-6, 669.2974128e-6
-1.833984375e-12, -312.1878892e-6, 676.3057299e-6
-1.828125e-12, -279.1448414e-6, 681.0786034e-6
-1.822265625e-12, -245.0471993e-6, 683.7641697e-6
-1.81640625e-12, -210.0175625e-6, 684.5028998e-6
-1.810546875e-12, -174.2855501e-6, 683.3526824e-6
-1.8046875e-12, -138.1069441e-6, 680.2555332e-6
-1.798828125e-12, -101.6781625e-6, 675.0566775e-6
-1.79296875e-12, -65.07631549e-6, 667.5688316e-6
-1.787109375e-12, -28.24670044e-6, 657.6589644e-6
-1.78125e-12, 8.956902525e-6, 645.327284e-6
-1.775390625e-12, 46.69102339e-6, 630.7500283e-6
-1.76953125e-12, 85.02646679e-6, 614.2694698e-6
-1.763671875e-12, 123.868892e-6, 596.331095e-6
-1.7578125e-12, 162.9227655e-6, 577.3861011e-6
